**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,anchor,sigma_rank_q,sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
below,high,3,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,28,21,7,0.5652,0.3635,0.7561,14.44,1,0.5556,0.2449,0.843,-5.79
below,high,3,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,43,35,8,0.5135,0.3549,0.6708,-10.84,0,0.2,0.0281,0.4825,-61.72
below,high,3,STEEP_LINEAR_UP,STEEP_LINEAR_UP,11,9,2,0.5455,0.2624,0.8129,-0.25,-1,,,,
below,high,4,FLATLINE,STEEP_LINEAR_DOWN,17,16,1,0.6111,0.3833,0.8156,3.05,-1,,,,
below,high,4,STEEP_CONVEX_DOWN,FLATLINE,11,10,1,0.5,0.2338,0.7662,-4.9,-1,,,,
below,high,4,STEEP_CONVEX_DOWN,NOISE,14,13,1,0.6667,0.419,0.8724,44.13,-1,,,,
below,high,4,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,17,17,0,0.6316,0.4099,0.827,17.65,-1,,,,
below,high,4,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,23,18,5,0.65,0.4345,0.8371,25.29,1,0.8571,0.5407,0.9958,44.9
below,high,4,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,18,13,5,0.8,0.5719,0.9534,20.96,1,0.5714,0.2228,0.8819,41.4
below,high,4,STEEP_LINEAR_DOWN,NOISE,16,14,2,0.5625,0.3229,0.7873,-1.29,-1,,,,
below,high,4,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,11,6,5,0.375,0.099,0.7096,-22.71,0,0.7143,0.3588,0.9567,6.25
below,high,4,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,22,19,3,0.5714,0.3605,0.7694,17.7,-1,,,,
below,high,4,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,48,32,16,0.2647,0.133,0.4226,-40.55,1,0.2222,0.0681,0.4343,-96.14
below,low,1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,20,18,2,0.45,0.2445,0.665,-20.81,-1,,,,
below,low,2,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,10,9,1,0.4545,0.1871,0.7376,1.25,-1,,,,
below,low,2,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,10,8,2,0.5,0.212,0.788,0.56,-1,,,,
below,low,2,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,25,23,2,0.36,0.188,0.5532,-19.71,-1,,,,
below,low,3,STEEP_CONVEX_DOWN,NOISE,15,10,5,0.6667,0.3903,0.8907,33.92,1,0.5714,0.2228,0.8819,1.1
below,low,3,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,15,13,2,0.4,0.1766,0.6486,15.87,-1,,,,
below,low,3,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,12,7,5,0.1111,0.0032,0.3694,-71.04,0,0.5714,0.2228,0.8819,58.95
below,low,3,STEEP_LINEAR_DOWN,FLATLINE,11,8,3,0.3,0.0749,0.6001,-38.0,-1,,,,
below,low,3,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,25,21,4,0.6087,0.4066,0.7929,4.07,-1,,,,
below,low,3,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,56,42,14,0.3636,0.2298,0.5093,-30.12,1,0.25,0.0779,0.4809,-80.95
below,low,3,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,10,9,1,0.6364,0.3475,0.8784,9.92,-1,,,,
below,low,4,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,19,16,3,0.3889,0.1844,0.6167,-10.92,-1,,,,
below,low,4,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,16,8,8,0.8,0.5175,0.9719,56.94,0,0.5,0.212,0.788,31.56
below,low,4,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,26,21,5,0.6087,0.4066,0.7929,-17.12,0,0.4286,0.1181,0.7772,-43.45
below,low,4,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,69,58,11,0.3167,0.2062,0.4387,-45.05,1,0.2308,0.0549,0.4841,-89.36
