**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

motif_shape,sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,14,12,2,0.3571,0.1386,0.6143,-62.38,-1,,,,
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,FLATLINE,13,13,0,0.2667,0.0839,0.508,-49.4,-1,,,,
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,NOISE,17,14,3,0.375,0.1634,0.6162,3.36,-1,,,,
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,14,11,3,0.3846,0.1517,0.6511,-18.3,-1,,,,
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,50,50,0,0.5,0.366,0.634,-5.71,-1,,,,
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,77,67,10,0.3188,0.2151,0.4326,-42.4,1,0.3333,0.1093,0.6097,-1.45
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,11,11,0,0.4615,0.2109,0.7233,-25.14,-1,,,,
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,11,11,0,0.5385,0.2767,0.7891,4.36,-1,,,,
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,STEEP_LINEAR_UP,11,10,1,0.5833,0.3079,0.8325,-4.17,-1,,,,
STEEP_CONVEX_UP,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,14,14,0,0.625,0.3838,0.8366,39.61,-1,,,,
STEEP_CONVEX_UP,STEEP_LINEAR_UP,STEEP_LINEAR_UP,23,19,4,0.619,0.4078,0.8088,34.32,-1,,,,
STEEP_LINEAR_DOWN,FLATLINE,STEEP_LINEAR_DOWN,15,11,4,0.1538,0.0209,0.3848,-89.23,-1,,,,
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,11,10,1,0.3333,0.1093,0.6097,-70.72,-1,,,,
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,11,9,2,0.2727,0.0667,0.5561,-105.92,-1,,,,
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,12,7,5,0.5556,0.2449,0.843,-44.71,0,0.2857,0.0433,0.6412,-36.45
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,FLATLINE,16,14,2,0.1875,0.0433,0.4046,-48.55,-1,,,,
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,NOISE,22,16,6,0.3889,0.1844,0.6167,-0.94,0,0.625,0.2904,0.901,53.71
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,18,18,0,0.3,0.1258,0.512,-53.79,-1,,,,
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,54,48,6,0.32,0.1995,0.4542,-12.17,0,0.5,0.1841,0.8159,-42.04
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,38,33,5,0.3714,0.2217,0.5351,-13.85,0,0.7143,0.3588,0.9567,109.2
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,FLATLINE,31,25,6,0.3333,0.1721,0.5179,-33.3,1,0.375,0.099,0.7096,-51.88
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NOISE,35,27,8,0.2069,0.083,0.3689,-71.28,0,0.7,0.3999,0.9251,42.75
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,25,19,6,0.2381,0.0866,0.4366,-16.11,0,0.5,0.1841,0.8159,0.38
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,34,26,8,0.3571,0.194,0.5396,-36.27,1,0.3,0.0749,0.6001,-41.0
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,82,51,31,0.3962,0.2701,0.5298,-23.52,1,0.3333,0.1857,0.5001,-29.76
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,212,158,54,0.3,0.2317,0.373,-45.54,1,0.1964,0.1043,0.309,-76.36
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,21,11,10,0.6923,0.4281,0.9008,47.14,0,0.4167,0.1675,0.6921,-15.03
STEEP_LINEAR_UP,FLATLINE,STEEP_LINEAR_UP,11,10,1,0.8333,0.5872,0.9772,71.97,-1,,,,
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,FLATLINE,17,13,4,0.8,0.5719,0.9534,59.19,-1,,,,
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,NOISE,19,14,5,0.6875,0.449,0.8818,27.2,1,0.5714,0.2228,0.8819,62.4
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,53,38,15,0.625,0.4718,0.7664,8.41,0,0.4706,0.2465,0.7012,-0.62
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,21,14,7,0.8125,0.5954,0.9567,49.66,1,0.5556,0.2449,0.843,2.54
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,12,9,3,0.7273,0.4439,0.9333,80.67,-1,,,,
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,51,32,19,0.7941,0.6454,0.9102,34.55,1,0.8095,0.6211,0.9427,69.76
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,10,4,6,,,,,-1,0.875,0.5904,0.9964,52.33
