side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s_long,entry_slope_15s_short,entry_slope_15m,entry_sig_above_1h_low
LONG,1752006180,2025-07-08 20:23:00,22904.5,1752013380,2025-07-08 22:23:00,22908.25,time_stop,120.0,7.5,63.0,-17.0,0.227,-2.267,0.098,0.391,0.508,-0.012,0.421
LONG,1752015180,2025-07-08 22:53:00,22910.25,1752019200,2025-07-09 00:00:00,22894.5,hard_stop,67.0,-31.5,50.0,-63.0,0.424,-1.537,1.103,0.37,0.971,0.053,0.871
LONG,1752021900,2025-07-09 00:45:00,22880.5,1752024660,2025-07-09 01:31:00,22860.25,hard_stop,46.0,-40.5,40.0,-81.0,-0.166,-2.759,-1.267,0.452,0.804,-0.136,-0.346
LONG,1752026460,2025-07-09 02:01:00,22894.0,1752030540,2025-07-09 03:09:00,22878.0,hard_stop,68.0,-32.0,25.0,-64.0,0.298,-1.435,0.384,1.098,1.121,-0.129,0.822
LONG,1752033240,2025-07-09 03:54:00,22879.5,1752040440,2025-07-09 05:54:00,22874.75,time_stop,120.0,-9.5,59.0,-35.0,0.087,-1.972,-0.422,0.421,1.108,-0.031,0.22
LONG,1752042240,2025-07-09 06:24:00,22862.75,1752049440,2025-07-09 08:24:00,22881.75,time_stop,120.0,38.0,157.0,-16.0,-0.503,-2.556,-1.51,0.908,0.75,-0.124,-1.189
LONG,1752051780,2025-07-09 09:03:00,22893.25,1752052620,2025-07-09 09:17:00,22928.0,target_1h_rail,14.0,69.5,139.0,-7.0,0.628,-0.821,0.836,0.436,0.792,0.089,1.134
LONG,1752108780,2025-07-10 00:53:00,23011.0,1752112500,2025-07-10 01:55:00,22994.5,hard_stop,62.0,-33.0,4.0,-66.0,0.691,-0.423,-1.618,0.301,0.312,-0.174,0.924
LONG,1752114300,2025-07-10 02:25:00,23015.75,1752116940,2025-07-10 03:09:00,23000.0,hard_stop,44.0,-31.5,17.0,-63.0,0.534,-0.767,0.055,0.654,1.792,-0.183,0.776
LONG,1752122100,2025-07-10 04:35:00,22997.25,1752128520,2025-07-10 06:22:00,22981.5,hard_stop,107.0,-31.5,15.0,-63.0,0.092,-1.283,-0.515,0.365,1.129,-0.064,0.099
LONG,1752130740,2025-07-10 06:59:00,22992.25,1752137940,2025-07-10 08:59:00,23045.25,time_stop,120.0,106.0,213.0,-26.0,-0.252,-1.515,0.071,0.412,0.717,-0.031,-0.328
LONG,1752141120,2025-07-10 09:52:00,23022.25,1752147120,2025-07-10 11:32:00,23060.5,target_1h_rail,100.0,76.5,153.0,0.0,0.676,-0.239,0.099,0.327,0.442,0.144,0.879
LONG,1752156660,2025-07-10 14:11:00,22944.0,1752157500,2025-07-10 14:25:00,22913.75,hard_stop,14.0,-60.5,80.0,-121.0,-1.859,-2.904,-3.405,-3.455,1.137,-0.465,-2.617
LONG,1752159300,2025-07-10 14:55:00,22974.25,1752160260,2025-07-10 15:11:00,22959.0,hard_stop,16.0,-30.5,0.0,-61.0,-0.433,-1.961,-0.889,0.903,1.3,-0.56,-0.61
LONG,1752162060,2025-07-10 15:41:00,23000.5,1752163800,2025-07-10 16:10:00,22985.0,hard_stop,29.0,-31.0,96.0,-62.0,0.269,-0.963,0.067,0.675,2.308,-0.335,0.3
LONG,1752165960,2025-07-10 16:46:00,22998.75,1752173160,2025-07-10 18:46:00,23033.25,time_stop,120.0,69.0,186.0,-37.0,0.443,-1.037,0.659,0.746,2.238,-0.114,0.517
LONG,1752179100,2025-07-10 20:25:00,23006.25,1752186300,2025-07-10 22:25:00,23030.0,time_stop,120.0,47.5,112.0,-2.0,0.3,-1.497,-1.891,0.503,0.333,0.039,0.393
LONG,1752194040,2025-07-11 00:34:00,22882.25,1752194640,2025-07-11 00:44:00,22862.25,hard_stop,10.0,-40.0,56.0,-80.0,-2.012,-5.842,-2.841,-6.925,1.833,-0.76,-2.588
LONG,1752196440,2025-07-11 01:14:00,22902.75,1752203640,2025-07-11 03:14:00,22955.5,time_stop,120.0,105.5,233.0,0.0,-1.044,-5.39,-1.219,1.03,3.475,-0.706,-1.238
LONG,1752207360,2025-07-11 04:16:00,22968.75,1752213300,2025-07-11 05:55:00,22953.0,hard_stop,99.0,-31.5,17.0,-63.0,0.19,-1.208,1.202,0.318,1.05,0.375,0.182
LONG,1752215100,2025-07-11 06:25:00,22967.25,1752215700,2025-07-11 06:35:00,22951.5,hard_stop,10.0,-31.5,8.0,-63.0,0.051,-0.979,0.304,0.554,1.058,-0.014,0.043
LONG,1752219120,2025-07-11 07:32:00,22932.5,1752219900,2025-07-11 07:45:00,22917.5,hard_stop,13.0,-30.0,19.0,-60.0,-0.544,-1.651,-1.445,0.39,2.958,-0.219,-0.439
LONG,1752222420,2025-07-11 08:27:00,22890.25,1752227820,2025-07-11 09:57:00,22866.25,hard_stop,90.0,-48.0,87.0,-96.0,-1.013,-2.582,-1.842,0.585,3.604,-0.426,-0.915
LONG,1752230940,2025-07-11 10:49:00,22880.25,1752231300,2025-07-11 10:55:00,22860.0,hard_stop,6.0,-40.5,0.0,-81.0,-0.818,-2.07,-0.653,0.606,1.8,-0.296,-0.747
LONG,1752233100,2025-07-11 11:25:00,22897.25,1752240300,2025-07-11 13:25:00,22905.0,time_stop,120.0,15.5,101.0,-56.0,-0.255,-1.404,0.848,0.576,0.55,0.04,-0.247
LONG,1752265980,2025-07-11 20:33:00,22944.0,1752444000,2025-07-13 22:00:00,22844.25,hard_stop,2967.0,-199.5,1.0,-399.0,0.55,-0.459,-1.365,0.308,1.183,-0.397,0.773
LONG,1752445800,2025-07-13 22:30:00,22850.5,1752453000,2025-07-14 00:30:00,22871.0,time_stop,120.0,41.0,135.0,-38.0,-1.064,-2.559,-1.72,1.366,1.046,-0.861,-1.487
LONG,1752456060,2025-07-14 01:21:00,22855.25,1752463260,2025-07-14 03:21:00,22862.25,time_stop,120.0,14.0,63.0,-45.0,-0.762,-1.935,-0.488,0.398,1.738,0.079,-0.858
LONG,1752465060,2025-07-14 03:51:00,22870.0,1752471780,2025-07-14 05:43:00,22854.75,hard_stop,112.0,-30.5,34.0,-61.0,-0.462,-1.217,1.255,1.017,0.458,0.017,-0.424
LONG,1752473940,2025-07-14 06:19:00,22830.25,1752477420,2025-07-14 07:17:00,22813.75,hard_stop,58.0,-33.0,56.0,-66.0,-1.233,-1.405,-1.897,0.376,0.358,-0.217,-0.934
LONG,1752479220,2025-07-14 07:47:00,22859.25,1752486420,2025-07-14 09:47:00,22901.75,time_stop,120.0,85.0,170.0,0.0,-0.264,-0.786,0.942,1.455,2.675,-0.082,-0.206
SHORT,1752501480,2025-07-14 13:58:00,22906.75,1752501720,2025-07-14 14:02:00,22927.25,hard_stop,4.0,-41.0,0,-82.0,2.104,1.221,0.588,5.666,-1.421,-0.172,2.851
LONG,1752588600,2025-07-15 14:10:00,23171.0,1752590400,2025-07-15 14:40:00,23146.0,hard_stop,30.0,-50.0,97.0,-100.0,0.73,-0.008,-0.045,0.87,5.6,-0.181,0.959
LONG,1752592200,2025-07-15 15:10:00,23132.25,1752598560,2025-07-15 16:56:00,23105.5,hard_stop,106.0,-53.5,187.0,-107.0,0.037,-1.206,-1.076,1.799,2.071,-0.375,0.058
LONG,1752600360,2025-07-15 17:26:00,23112.5,1752605940,2025-07-15 18:59:00,23094.25,hard_stop,93.0,-36.5,259.0,-73.0,-0.215,-3.872,-0.978,0.766,1.5,-0.467,-0.497
LONG,1752607980,2025-07-15 19:33:00,23091.5,1752609420,2025-07-15 19:57:00,23074.5,hard_stop,24.0,-34.0,82.0,-68.0,-0.464,-5.81,-1.183,-0.438,0.654,-0.315,-1.057
LONG,1752611940,2025-07-15 20:39:00,23021.5,1752617580,2025-07-15 22:13:00,23005.0,hard_stop,94.0,-33.0,34.0,-66.0,-1.414,-6.572,-1.577,-0.336,0.854,-0.549,-2.754
LONG,1752619380,2025-07-15 22:43:00,22993.0,1752626580,2025-07-16 00:43:00,23007.25,time_stop,120.0,28.5,104.0,-40.0,-1.636,-4.153,-1.319,-1.766,0.542,-0.865,-2.532
LONG,1752628380,2025-07-16 01:13:00,23020.75,1752635580,2025-07-16 03:13:00,23022.0,time_stop,120.0,2.5,41.0,-52.0,-0.623,-1.436,1.891,1.283,1.737,-0.101,-0.775
LONG,1752638880,2025-07-16 04:08:00,23027.75,1752642180,2025-07-16 05:03:00,23009.0,hard_stop,55.0,-37.5,24.0,-75.0,-0.092,-0.85,1.113,0.576,1.896,0.088,-0.107
LONG,1752644100,2025-07-16 05:35:00,23014.25,1752645240,2025-07-16 05:54:00,22996.0,hard_stop,19.0,-36.5,20.0,-73.0,-0.132,-0.933,-0.824,0.434,2.183,-0.097,-0.155
LONG,1752647040,2025-07-16 06:24:00,23000.5,1752647580,2025-07-16 06:33:00,22981.25,hard_stop,9.0,-38.5,0.0,-77.0,-0.279,-1.099,-2.103,0.374,0.479,-0.11,-0.337
LONG,1752650100,2025-07-16 07:15:00,22964.75,1752657300,2025-07-16 09:15:00,23000.25,time_stop,120.0,71.0,195.0,0.0,-1.25,-1.737,-1.715,-2.416,1.467,-0.401,-1.564
LONG,1752659580,2025-07-16 09:53:00,23000.75,1752666780,2025-07-16 11:53:00,23014.25,time_stop,120.0,27.0,81.0,-30.0,0.187,-1.458,1.089,0.55,1.633,0.04,0.303
LONG,1752675120,2025-07-16 14:12:00,23000.5,1752675240,2025-07-16 14:14:00,22975.5,hard_stop,2.0,-50.0,0.0,-100.0,-0.232,-1.037,-0.874,0.423,2.675,-0.253,-0.408
LONG,1752677400,2025-07-16 14:50:00,23026.75,1752677640,2025-07-16 14:54:00,22976.5,hard_stop,4.0,-100.5,17.0,-201.0,0.598,-0.157,-0.003,0.741,3.817,0.004,1.052
LONG,1752679800,2025-07-16 15:30:00,22943.5,1752679920,2025-07-16 15:32:00,22928.25,hard_stop,2.0,-30.5,30.0,-61.0,-0.449,-2.948,-1.905,-2.92,8.833,-0.253,-0.839
LONG,1752681720,2025-07-16 16:02:00,22979.25,1752688920,2025-07-16 18:02:00,23022.5,time_stop,120.0,86.5,341.0,-47.0,0.378,-1.785,-0.601,4.796,2.258,-0.461,0.525
LONG,1752707100,2025-07-16 23:05:00,23041.25,1752711420,2025-07-17 00:17:00,23025.5,hard_stop,72.0,-31.5,13.0,-63.0,0.682,-0.769,-1.148,0.301,0.858,-0.214,0.808
LONG,1752716880,2025-07-17 01:48:00,23033.25,1752724080,2025-07-17 03:48:00,23039.25,time_stop,120.0,12.0,24.0,-59.0,0.591,-1.642,-1.173,0.356,0.454,0.0,0.673
LONG,1752727980,2025-07-17 04:53:00,23038.5,1752731400,2025-07-17 05:50:00,23090.25,target_1h_rail,57.0,103.5,207.0,0.0,0.481,-1.143,1.255,0.35,0.554,-0.033,0.421
SHORT,1752745200,2025-07-17 09:40:00,23121.0,1752749280,2025-07-17 10:48:00,23097.75,crossed_15m_mean,68.0,46.5,93.0,0,2.362,1.059,0.272,0.492,-0.133,-0.146,2.573
