**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
LONG,1757527260,2025-09-10 18:01:00,23895.5,1757527620,2025-09-10 18:07:00,23884.5,slope_rolled_over,6.0,-22.0,4.0,-44.0,-0.263,-1.807,-1.131,0.05,-0.382,-0.742
LONG,1757529180,2025-09-10 18:33:00,23872.75,1757529720,2025-09-10 18:42:00,23867.5,slope_rolled_over,9.0,-10.5,21.0,-47.0,-0.834,-2.417,-1.359,0.575,-0.469,-2.349
LONG,1757530680,2025-09-10 18:58:00,23865.25,1757531100,2025-09-10 19:05:00,23847.5,slope_rolled_over,7.0,-35.5,0.0,-93.0,-1.007,-2.618,-1.36,1.135,-0.524,-2.835
LONG,1757532480,2025-09-10 19:28:00,23807.5,1757533260,2025-09-10 19:41:00,23835.25,slope_rolled_over,13.0,55.5,120.0,0.0,-1.629,-3.653,-2.29,0.003,-0.7,-3.349
LONG,1757533560,2025-09-10 19:46:00,23854.5,1757534640,2025-09-10 20:04:00,23880.75,slope_rolled_over,18.0,52.5,139.0,0.0,-0.906,-2.519,-0.494,5.03,-0.218,-1.862
LONG,1757536080,2025-09-10 20:28:00,23874.25,1757536620,2025-09-10 20:37:00,23872.5,slope_rolled_over,9.0,-3.5,1.0,-16.0,-0.271,-1.742,0.323,0.285,-0.297,-0.428
LONG,1757537880,2025-09-10 20:58:00,23861.75,1757542620,2025-09-10 22:17:00,23870.25,slope_rolled_over,79.0,17.0,61.0,-11.0,-0.424,-2.016,0.021,0.16,-0.176,-0.67
LONG,1757542920,2025-09-10 22:22:00,23872.0,1757545440,2025-09-10 23:04:00,23897.25,slope_rolled_over,42.0,50.5,135.0,-5.0,-0.204,-1.553,0.666,0.24,-0.092,-0.305
LONG,1757545740,2025-09-10 23:09:00,23908.5,1757546100,2025-09-10 23:15:00,23902.5,slope_rolled_over,6.0,-12.0,0.0,-31.0,0.298,-0.813,1.67,1.365,0.193,0.449
LONG,1757546400,2025-09-10 23:20:00,23906.75,1757546760,2025-09-10 23:26:00,23905.75,slope_rolled_over,6.0,-2.0,4.0,-9.0,0.36,-0.848,1.556,0.823,0.531,0.543
LONG,1757547480,2025-09-10 23:38:00,23901.25,1757547780,2025-09-10 23:43:00,23900.0,slope_rolled_over,5.0,-2.5,0.0,-27.0,0.282,-0.959,1.551,0.057,0.506,0.425
LONG,1757548740,2025-09-10 23:59:00,23900.75,1757548740,2025-09-10 23:59:00,23900.75,eod_force_close,0.0,0.0,0.0,0.0,0.205,-0.969,1.303,0.12,0.196,0.31
