**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

mode,low_thr,high_thr,low_mult,high_mult,mean,median,min,pos_days,days_over_200,total
linear,-100,200,0.7,1.0,864.8106988831664,626.0430330172527,-512.5990492075568,26,23,26809.131665378158
linear,-200,200,0.5,1.0,849.1863898511133,625.7707993002637,-491.301605055328,26,23,26324.77808538451
linear,-200,300,0.7,1.0,846.5199846258253,588.7527873939902,-515.3012478088115,26,23,26242.119523400583
linear,-100,300,0.7,1.0,826.3229970294368,579.2299786662833,-494.67935330689625,26,23,25616.01290791254
linear,0,100,0.5,2.0,1651.0020447979018,1124.4014449158165,-1048.2917543160281,27,22,51181.063388734954
linear,0,100,0.3,2.0,1623.853534767921,1179.549844617853,-1028.6536346737726,25,22,50339.45957780555
linear,0,200,0.7,2.0,1444.5634390597857,818.3951734183529,-641.1765620563451,26,22,44781.46661085336
linear,-100,200,0.0,2.0,1437.9676291680107,791.7599877749666,-627.6458075735055,26,22,44576.996504208335
linear,0,200,0.5,2.0,1381.4784496808672,766.30166604157,-555.8840867368682,26,22,42825.83194010689
linear,-100,100,0.0,1.5,1293.5631392849396,875.1777354473439,-823.8105303954574,26,22,40100.45731783313
linear,0,100,0.7,1.5,1282.3678623971446,865.623569394583,-818.1307601556864,26,22,39753.40373431148
linear,0,100,0.5,1.5,1255.2193523671644,808.8333338730887,-798.4926405134306,26,22,38911.799923382096
linear,-100,300,0.0,2.0,1181.3829501431485,635.1498927221935,-508.1811682357666,26,22,36622.871454437605
linear,0,300,0.5,2.0,1178.4441838896148,635.1498927221937,-507.66767468296206,26,22,36531.76970057806
linear,-200,200,0.0,1.5,1156.5972670362728,735.6432957682546,-577.2215764412739,26,22,35854.515278124454
linear,-100,200,0.3,1.5,1140.97295800422,707.2786347808485,-555.9241322890449,26,22,35370.16169813082
linear,0,200,0.7,1.5,1138.621945001393,712.0327342588685,-555.5133374468012,26,22,35297.28029504318
linear,-100,200,0.0,1.5,1078.4757218760078,593.8199908312249,-470.73435568012866,26,22,33432.747378156244
linear,0,200,0.5,1.5,1075.5369556224746,599.7626151787498,-470.220862127324,26,22,33341.64562429671
linear,-200,300,0.3,1.5,1067.8101009748552,703.0343514075514,-566.7329266940632,26,22,33102.11313022051
