**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

realistic_pnl_usd,size_flat,size_gbm_ev,size_gbm_quantile,size_hand_aggressive
38.5,1.0,1.1837342529904387,1.5,2.0
34.0,1.0,1.118342898129181,0.8,0.8
-64.0,1.0,1.0769020875620932,0.8,1.2
160.0,1.0,1.0723429191462683,0.8,2.0
6.0,1.0,1.0638847129630236,0.8,1.2
12.0,1.0,0.9760893933177615,0.8,2.0
-46.5,1.0,0.8092014087868353,0.5,1.2
-21.0,1.0,1.070833230130448,0.8,0.8
-75.0,1.0,0.961871897855282,0.8,1.2
-26.5,1.0,0.9479152587666202,0.8,1.2
24.5,1.0,1.1899133861106015,1.5,2.0
87.0,1.0,1.2971917506625616,1.5,1.2
69.0,1.0,2.1339186370162015,2.0,2.0
204.5,1.0,1.9126050981348492,2.0,1.2
-51.0,1.0,2.205017506525988,2.0,1.2
-76.0,1.0,1.889205805855462,2.0,1.2
0.5,1.0,1.9276265220869742,2.0,2.0
94.5,1.0,1.6496811099266506,1.5,2.0
50.5,1.0,1.6823364607994793,1.5,1.2
-68.0,1.0,1.4345321675364255,1.5,2.0
-12.5,1.0,1.710529650389362,1.5,2.0
40.0,1.0,1.46452897137128,1.5,1.2
149.5,1.0,1.1594347721694107,0.8,1.2
13.0,1.0,1.6816817669953847,1.5,1.2
-33.0,1.0,1.847842461758351,2.0,2.0
114.0,1.0,1.499981926693374,1.5,1.2
-8.5,1.0,1.1251725247052957,0.8,0.8
-20.5,1.0,1.1716570402154591,0.8,1.2
10.0,1.0,1.2491818815702116,1.5,1.2
240.0,1.0,1.7736865129718598,2.0,1.2
-38.0,1.0,1.1529024013885816,0.8,2.0
1.0,1.0,1.399530135033074,1.5,0.8
-39.5,1.0,0.9704354930137615,0.8,0.8
41.0,1.0,1.1593326336802159,0.8,0.8
24.0,1.0,1.1267593476348137,0.8,1.2
56.0,1.0,1.5086727940203861,1.5,0.8
-60.0,1.0,1.2328817273274888,1.5,0.8
-55.0,1.0,1.1968062671812452,1.5,0.8
60.5,1.0,1.5842040473100107,1.5,0.8
-63.5,1.0,0.980424923217063,0.8,0.0
-72.0,1.0,1.0149110655401885,0.8,0.8
9.0,1.0,1.0315906678274382,0.8,0.0
-12.0,1.0,1.017305453293503,0.8,0.8
109.5,1.0,0.8918636097565786,0.5,0.0
158.0,1.0,1.0628479513787394,0.8,0.8
-53.0,1.0,1.2129742111774307,1.5,0.0
-12.5,1.0,1.1268958790089219,0.8,0.8
119.5,1.0,1.2024473776185087,1.5,0.8
-30.5,1.0,0.9816403476257938,0.8,0.0
-46.0,1.0,0.9285650472804994,0.5,0.0
40.5,1.0,0.9217893336918912,0.5,0.0
-75.0,1.0,0.8110830972130332,0.5,0.0
169.0,1.0,0.7399852146750556,0.5,0.0
-67.0,1.0,0.8982416147648191,0.5,0.0
-57.5,1.0,0.7483232162718894,0.5,0.0
-74.5,1.0,0.8757382950515522,0.5,0.0
-63.5,1.0,1.0625125950380458,0.8,0.0
-43.0,1.0,0.873269266494854,0.5,0.0
1.5,1.0,0.8299913416237537,0.5,0.0
66.5,1.0,1.110395781726234,0.8,0.8
1.0,1.0,0.9104882493877335,0.5,0.0
291.0,1.0,2.213833367927705,2.0,1.2
-15.0,1.0,1.23240695305411,1.5,2.0
44.5,1.0,1.3171094195022577,1.5,0.8
-21.0,1.0,1.0948566199842609,0.8,0.8
-80.0,1.0,1.5005122423052848,1.5,0.8
71.0,1.0,1.2538655726499028,1.5,0.8
96.0,1.0,1.1027759029377595,0.8,0.8
113.0,1.0,1.2008649420476227,1.5,2.0
142.0,1.0,1.0921499549080416,0.8,0.8
-93.0,1.0,0.9276017724173578,0.5,2.0
88.5,1.0,1.084972981516077,0.8,0.8
-37.0,1.0,1.025835582517717,0.8,0.8
256.0,1.0,1.2969563383806348,1.5,0.0
92.5,1.0,0.9434718734954759,0.8,0.8
-44.5,1.0,0.9261714408941089,0.5,0.8
-74.5,1.0,0.9463585104627839,0.8,0.8
58.0,1.0,0.8688397811649429,0.5,0.0
-107.0,1.0,1.001049832173241,0.8,0.0
13.0,1.0,1.1080902005696878,0.8,0.0
449.0,1.0,1.144399620714923,0.8,0.8
6.5,1.0,1.1623872460168783,0.8,1.2
-73.5,1.0,0.9110672934209747,0.5,0.8
-27.5,1.0,0.9553049490740293,0.8,0.8
277.5,1.0,1.0005009510612584,0.8,0.0
-36.5,1.0,0.8254594966907529,0.5,0.0
-26.5,1.0,0.8404166999212555,0.5,0.0
-61.5,1.0,1.0298846482999506,0.8,0.0
-71.0,1.0,0.842099976848963,0.5,0.8
133.5,1.0,0.7856022378216645,0.5,0.0
20.0,1.0,0.7664814889671088,0.5,0.8
-40.0,1.0,0.7950373518721705,0.5,0.0
-86.5,1.0,0.7606275601525103,0.5,0.0
-71.5,1.0,1.0183326540367328,0.8,0.0
119.0,1.0,0.9335292376147706,0.8,0.0
-4.5,1.0,0.9947017407776482,0.8,0.8
-86.0,1.0,0.9445289342701026,0.8,0.0
42.5,1.0,1.0243149106046325,0.8,0.8
86.0,1.0,0.9423054401488749,0.8,0.0
-28.5,1.0,2.1080246682666877,2.0,0.0
-61.5,1.0,1.5739693478695944,1.5,0.0
-83.0,1.0,1.3239843110440717,1.5,0.0
15.5,1.0,1.0118691149259003,0.8,0.0
42.0,1.0,0.9216490793843304,0.5,0.0
29.0,1.0,1.1421140307391169,0.8,0.0
-33.5,1.0,0.8314258583332723,0.5,0.8
-11.5,1.0,1.107043602240076,0.8,0.8
