**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_2d,n,pearson
1m,vwap_w,hurst_w,DOWN_SMOOTH,4662,0.015067977783372388
1m,vwap_w,hurst_w,DOWN_CHOPPY,2988,-0.01674364861656798
1m,vwap_w,hurst_w,FLAT_SMOOTH,9890,-0.03492070004043052
1m,vwap_w,hurst_w,FLAT_CHOPPY,18315,-0.025090397314010273
1m,vwap_w,reversion_prob_w,UP_SMOOTH,7146,0.022802989475013143
1m,vwap_w,reversion_prob_w,UP_CHOPPY,3924,0.014400955970140348
1m,vwap_w,reversion_prob_w,DOWN_SMOOTH,4662,0.02422395590586386
1m,vwap_w,reversion_prob_w,DOWN_CHOPPY,2988,0.03374048495279308
1m,vwap_w,reversion_prob_w,FLAT_SMOOTH,9890,-0.002846335471085018
1m,vwap_w,reversion_prob_w,FLAT_CHOPPY,18315,-0.006521908229037055
1m,vol_velocity_w,vol_mean_w,UP_SMOOTH,7146,0.06517116241695857
1m,vol_velocity_w,vol_mean_w,UP_CHOPPY,3924,0.07718851982369054
1m,vol_velocity_w,vol_mean_w,DOWN_SMOOTH,4662,0.07159438581358982
1m,vol_velocity_w,vol_mean_w,DOWN_CHOPPY,2988,0.06576103636417548
1m,vol_velocity_w,vol_mean_w,FLAT_SMOOTH,9890,0.06955110772103214
1m,vol_velocity_w,vol_mean_w,FLAT_CHOPPY,18315,0.06744475938064069
1m,vol_velocity_w,z_se_w,UP_SMOOTH,7146,0.02534226710775676
1m,vol_velocity_w,z_se_w,UP_CHOPPY,3924,-0.0067422469246033985
1m,vol_velocity_w,z_se_w,DOWN_SMOOTH,4662,-0.05716814688743899
1m,vol_velocity_w,z_se_w,DOWN_CHOPPY,2988,-0.04381514898679175
1m,vol_velocity_w,z_se_w,FLAT_SMOOTH,9890,-0.02850292743394015
1m,vol_velocity_w,z_se_w,FLAT_CHOPPY,18315,-0.011094289814989434
1m,vol_velocity_w,hurst_w,UP_SMOOTH,7146,-0.036933340349422465
1m,vol_velocity_w,hurst_w,UP_CHOPPY,3924,-0.02360481317230715
1m,vol_velocity_w,hurst_w,DOWN_SMOOTH,4662,-0.052069742446932465
1m,vol_velocity_w,hurst_w,DOWN_CHOPPY,2988,-0.028878182972586257
1m,vol_velocity_w,hurst_w,FLAT_SMOOTH,9890,-0.034707921241104715
1m,vol_velocity_w,hurst_w,FLAT_CHOPPY,18315,-0.03467103572530204
1m,vol_velocity_w,reversion_prob_w,UP_SMOOTH,7146,-0.20010041266716833
1m,vol_velocity_w,reversion_prob_w,UP_CHOPPY,3924,-0.1815705052497881
1m,vol_velocity_w,reversion_prob_w,DOWN_SMOOTH,4662,-0.17584021100888902
1m,vol_velocity_w,reversion_prob_w,DOWN_CHOPPY,2988,-0.205947113044115
1m,vol_velocity_w,reversion_prob_w,FLAT_SMOOTH,9890,-0.18093284124963147
1m,vol_velocity_w,reversion_prob_w,FLAT_CHOPPY,18315,-0.1978075012832653
1m,vol_mean_w,z_se_w,UP_SMOOTH,7146,-0.011404628207341335
1m,vol_mean_w,z_se_w,UP_CHOPPY,3924,0.0015528350380759105
1m,vol_mean_w,z_se_w,DOWN_SMOOTH,4662,0.020017149968353166
1m,vol_mean_w,z_se_w,DOWN_CHOPPY,2988,0.014669694838368982
1m,vol_mean_w,z_se_w,FLAT_SMOOTH,9890,0.009996607067923798
