tf,X,Y,Z,r_min,r_max,lift,sign_flip
5s,bar_range,body,vwap_w,-0.13272195495570765,0.011214035013092918,0.14393598996880058,False
5s,vol_velocity_w,reversion_prob_w,z_se_w,-0.11979008379843983,0.023531324706318888,0.14332140850475872,False
1h,bar_range,vol_mean_w,hurst_w,0.25554881819766084,0.3986784829795757,0.14312966478191486,False
15m,bar_range,vol_mean_w,body,0.41396200852200227,0.5569972312386698,0.14303522271666758,False
5m,body,vol_velocity_w,vwap_w,-0.11003292058117664,0.03275815571735582,0.14279107629853247,False
1h,bar_range,z_se_w,vwap_w,-0.10759385550812489,0.033913089113886435,0.14150694462201133,False
5s,bar_range,vol_velocity_w,vwap_w,0.22130766222803666,0.3627872628830756,0.14147960065503895,False
1h,bar_range,vol_mean_w,vol_velocity_w,0.21454968748953468,0.3556394067390066,0.14108971924947195,False
1h,vwap_w,hurst_w,vol_velocity_w,-0.20696032303252457,-0.06681786929036823,0.14014245374215634,False
15m,body,hurst_w,z_se_w,-0.08037927616838395,0.05886313382983233,0.13924240999821627,True
5m,body,z_se_w,vol_velocity_w,0.4922989434358301,0.6313463349106543,0.1390473914748242,False
1h,bar_range,reversion_prob_w,vwap_w,-0.5377115777700384,-0.3998613815741272,0.1378501961959112,False
15m,vol_mean_w,hurst_w,vwap_w,-0.08812814763219658,0.04915905121863522,0.1372871988508318,False
1m,vol_velocity_w,vol_mean_w,hurst_w,-0.011074830015261685,0.12555016957758203,0.13662499959284372,False
1h,vol_velocity_w,vol_mean_w,body,-0.006570625451561739,0.12907471136144227,0.135645336813004,False
1h,vol_velocity_w,vol_mean_w,hurst_w,0.058657560460077904,0.1938630310308263,0.1352054705707484,False
1h,vol_velocity_w,hurst_w,reversion_prob_w,-0.056990411443735435,0.07746185778692377,0.1344522692306592,True
1m,vwap_w,vol_velocity_w,bar_range,0.005433319435274129,0.13934646971489043,0.13391315027961628,False
1h,body,vol_mean_w,bar_range,-0.09108362355105117,0.042793252419113206,0.13387687597016437,False
1h,body,vol_velocity_w,reversion_prob_w,-0.07559763458257812,0.058272263585243955,0.13386989816782208,True
5s,bar_range,z_se_w,body,-0.05656068975704441,0.0765103324631691,0.1330710222202135,True
1h,body,vol_velocity_w,vol_mean_w,-0.10698876963472789,0.02548960356393234,0.13247837319866024,False
1h,vol_mean_w,reversion_prob_w,hurst_w,0.056524812109691645,0.18807805824158405,0.1315532461318924,False
5s,vol_mean_w,z_se_w,body,-0.057380613756545344,0.0738609353998036,0.13124154915634895,True
5m,bar_range,body,vol_velocity_w,-0.03753266124217012,0.0927283351172372,0.13026099635940733,False
5m,vol_velocity_w,vol_mean_w,hurst_w,-0.023523719117402156,0.10576897109144096,0.1292926902088431,False
1h,vol_velocity_w,z_se_w,vol_mean_w,-0.05746375826828881,0.07071511352609146,0.12817887179438026,True
1h,vwap_w,z_se_w,bar_range,-0.08590341453558382,0.04213324044989169,0.1280366549854755,False
1h,body,z_se_w,hurst_w,0.4933891560176632,0.6197145759230567,0.12632541990539348,False
5m,z_se_w,hurst_w,body,-0.06367445484377131,0.06231187007086777,0.12598632491463907,True
15m,bar_range,hurst_w,vwap_w,-0.07469598722250831,0.05061263401507584,0.12530862123758416,True
5s,vol_velocity_w,reversion_prob_w,vol_mean_w,-0.20385838619462998,-0.07866339920131682,0.12519498699331316,False
15m,vwap_w,reversion_prob_w,bar_range,-0.17573869669074202,-0.05077582971658756,0.12496286697415446,False
5s,bar_range,body,vol_mean_w,-0.08548472070125844,0.03866599195892846,0.1241507126601869,False
1h,vwap_w,z_se_w,vol_velocity_w,-0.07280692212593114,0.04904568020358271,0.12185260232951384,False
5m,bar_range,vol_mean_w,reversion_prob_w,0.5673666063791278,0.6891079375636646,0.12174133118453678,False
5s,z_se_w,hurst_w,body,-0.04669104916018876,0.07492985740503647,0.12162090656522523,False
5m,vwap_w,reversion_prob_w,body,-0.12993835264770895,-0.008375944598469577,0.12156240804923937,False
5m,bar_range,vol_velocity_w,vol_mean_w,0.3201875940322065,0.44095501633201045,0.12076742229980397,False
1m,bar_range,vwap_w,hurst_w,-0.45546349071238285,-0.33475896887112694,0.12070452184125591,False
15m,bar_range,hurst_w,vol_mean_w,-0.1036894670838542,0.01698776645837984,0.12067723354223403,False
1h,body,vwap_w,bar_range,-0.06703876057505766,0.05356571198660161,0.12060447256165926,True
