**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

======================================================================
  STANDALONE RESEARCH
  Data: DATA/ATLAS
  Base TF: 1m
  Context: 21d warmup, 0d analysis
  Mode: PRICE I-MR (default)
======================================================================

--- STEP 1: Loading base TF data (1m) ---
  1m: 391,514 bars loaded

--- STEP 2: Price I-MR Chart ---
  Price I-MR: 391514 bars, warmup=20010, analysis=371504
  Center=21383.93, MR_bar=4.28, UCL_MR=13.99, UCL_I=21395.32, LCL_I=21372.54
    R286:   20 bars, price=21679.8, vol=7.34, dir=LONG, chg=+48.2
    R287:   14 bars, price=21730.1, vol=6.07, dir=LONG, chg=+30.0
    R288:   11 bars, price=21779.8, vol=6.95, dir=LONG, chg=+21.8
    R289:   30 bars, price=21784.1, vol=5.51, dir=LONG, chg=+13.8
    R290:   17 bars, price=21777.9, vol=5.26, dir=LONG, chg=+28.2
    R291:   70 bars, price=21799.6, vol=4.56, dir=SHORT, chg=-15.8
    R292:   45 bars, price=21789.3, vol=3.57, dir=LONG, chg=+46.0
    R293:   76 bars, price=21814.0, vol=3.81, dir=SHORT, chg=-47.0
    R294:  610 bars, price=21886.5, vol=2.08, dir=LONG, chg=+14.5
    R295:   45 bars, price=21788.6, vol=4.23, dir=SHORT, chg=-37.5
    R296:   66 bars, price=21816.1, vol=2.99, dir=LONG, chg=+65.5
    R297:  101 bars, price=21838.5, vol=2.49, dir=LONG, chg=+20.8
    R298:  113 bars, price=21818.4, vol=4.53, dir=LONG, chg=+64.0
    R299:   63 bars, price=21876.2, vol=6.30, dir=SHORT, chg=-28.8
    R300:   43 bars, price=21924.5, vol=7.89, dir=LONG, chg=+107.5
    R301:   13 bars, price=21987.2, vol=4.71, dir=LONG, chg=+37.0
    R302:   46 bars, price=22037.1, vol=4.55, dir=SHORT, chg=-2.8
    R303:   36 bars, price=21991.7, vol=5.26, dir=SHORT, chg=-66.0
    R304:   10 bars, price=21984.4, vol=5.20, dir=LONG, chg=+20.2
    R305:   69 bars, price=21968.8, vol=4.88, dir=SHORT, chg=-67.2
    R306:   24 bars, price=21945.8, vol=7.47, dir=LONG, chg=+9.0
    R307:  136 bars, price=22046.8, vol=4.22, dir=LONG, chg=+152.5
    R308:  931 bars, price=22113.4, vol=1.98, dir=SHORT, chg=-12.0
    R309:   60 bars, price=22105.1, vol=3.44, dir=LONG, chg=+25.2
    R310:   20 bars, price=22108.5, vol=6.80, dir=LONG, chg=+18.5
    R311:   10 bars, price=22130.5, vol=4.55, dir=SHORT, chg=-12.0
    R312:   15 bars, price=22136.8, vol=5.20, dir=LONG, chg=+25.0
    R313:   44 bars, price=22136.2, vol=5.12, dir=LONG, chg=+12.8
    R314:   20 bars, price=22152.1, vol=4.96, dir=SHORT, chg=-23.0
    R315:   16 bars, price=22129.8, vol=4.89, dir=LONG, chg=+25.0
    R316:  263 bars, price=22163.2, vol=3.33, dir=LONG, chg=+89.2
    R317:   61 bars, price=22205.1, vol=2.31, dir=LONG, chg=+8.5
    R318: 2071 bars, price=22255.5, vol=1.66, dir=LONG, chg=+27.8
    R319:   14 bars, price=22242.7, vol=7.59, dir=SHORT, chg=-11.8
