tf,X,Y,Z,r_min,r_max,lift,n_bins,sign_flip
5m,price_velocity_1b,swing_noise_w,z_se_w,-0.5003888882261333,0.5029815943113669,1.0033704825375,5,True
15m,price_accel_1b,bar_range,price_accel_w,-0.5315267850257337,0.4709870739957581,1.0025138590214917,5,True
1h,price_velocity_1b,vol_velocity_w,price_accel_w,-0.5523278656159576,0.44845008464538394,1.0007779502613414,5,True
5m,body,reversion_prob_w,z_low_w,-0.5470472921844705,0.44959899846284246,0.9966462906473129,5,True
1h,bar_range,body,z_high_w,-0.5144162050008108,0.4818033589921622,0.996219563992973,5,True
5s,body,price_sigma_w,price_velocity_1b,-0.49693039157145635,0.49851005039077056,0.9954404419622269,5,True
1h,body,reversion_prob_w,price_accel_w,-0.41470642885137643,0.578162988590478,0.9928694174418544,5,True
1h,price_velocity_1b,reversion_prob_w,price_velocity_w,-0.46272035783733795,0.52962983317108,0.992350191008418,5,True
1m,price_accel_1b,bar_range,body,-0.44473247930189674,0.5469542659987634,0.9916867453006601,5,True
5m,vol_velocity_w,vol_sigma_w,vol_velocity_1b,-0.375564387243692,0.6161171318349238,0.9916815190786158,5,True
15m,price_velocity_w,SE_low_w,vol_sigma_w,-0.21912475858668828,0.7723644014959664,0.9914891600826548,5,True
1m,price_accel_1b,bar_range,price_velocity_1b,-0.4450038781576864,0.5453402657879213,0.9903441439456077,5,True
5s,vol_accel_w,vol_mean_w,bar_range,-0.32304138318826947,0.6642710308349725,0.987312414023242,5,True
15m,price_velocity_1b,bar_range,z_high_w,-0.6027895145829502,0.38417665440020976,0.9869661689831599,5,True
5s,vol_velocity_w,vol_mean_w,vol_sigma_w,-0.21994572441047058,0.7659599119000104,0.985905636310481,5,True
5m,vol_velocity_1b,vol_sigma_w,vol_accel_w,-0.48738316699178735,0.49782024335702285,0.9852034103488102,5,True
5m,price_velocity_1b,SE_low_w,body,-0.5341279078292295,0.44990435706755405,0.9840322648967835,5,True
15m,price_velocity_w,SE_low_w,vol_mean_w,-0.1872966244876715,0.7954776493162047,0.9827742738038762,5,True
5s,vol_accel_1b,vol_sigma_w,vol_velocity_w,-0.21191600890265583,0.7694304520580841,0.98134646096074,5,True
15m,price_velocity_1b,SE_low_w,z_se_w,-0.5640613016376606,0.41726367124334796,0.9813249728810085,5,True
