day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_05_07,FADE_MOMENTUM,short,19911.0,-194.0,0.0,12,hard_stop,1746646860.0
2025_05_07,FADE_MOMENTUM,long,19846.25,179.5,179.5,60,mean_reached,1746647400.0
2025_05_13,FADE_MOMENTUM,short,21033.5,6.5,55.0,24,giveback,1747139400.0
2025_05_18,FADE_MOMENTUM,long,21338.75,-11.5,0.0,36,mean_reached,1747605600.0
2025_05_21,FADE_MOMENTUM,long,21321.75,-49.5,18.0,24,z_reversal,1747848000.0
2025_05_21,FADE_MOMENTUM,short,21239.0,-173.0,0.0,96,hard_stop,1747848660.0
2025_05_23,FADE_MOMENTUM,long,21018.5,-232.0,0.0,24,hard_stop,1748000580.0
2025_05_28,FADE_MOMENTUM,short,21449.0,22.5,22.5,36,mean_reached,1748463660.0
2025_05_29,FADE_MOMENTUM,long,21365.75,-40.0,0.0,72,mean_reached,1748534220.0
2025_06_02,FADE_MOMENTUM,long,21243.5,115.5,115.5,36,z_reversal,1748872800.0
2025_07_16,FADE_MOMENTUM,long,22976.5,68.5,68.5,24,mean_reached,1752677640.0
2025_07_30,FADE_MOMENTUM,short,23556.0,-112.5,0.0,36,z_reversal,1753905720.0
2025_08_12,FADE_MOMENTUM,long,23737.75,1.5,36.5,36,giveback,1755006240.0
2025_10_10,FADE_MOMENTUM,short,24861.0,69.0,69.0,36,mean_reached,1760111040.0
2025_10_13,FADE_MOMENTUM,short,24839.25,-49.5,0.0,72,mean_reached,1760360400.0
2025_10_15,FADE_MOMENTUM,long,24835.0,20.5,42.0,24,giveback,1760547600.0
2025_10_16,FADE_MOMENTUM,long,24820.25,-121.0,10.0,24,z_reversal,1760632200.0
2025_10_16,FADE_MOMENTUM,long,24759.75,14.5,69.0,24,giveback,1760632320.0
2025_10_16,FADE_MOMENTUM,short,24820.75,122.0,122.0,48,mean_reached,1760632860.0
2025_10_20,FADE_MOMENTUM,short,25173.25,-70.0,0.0,60,z_reversal,1760967000.0
2025_10_22,FADE_MOMENTUM,long,24936.75,42.5,42.5,36,mean_reached,1761150600.0
2025_10_29,FADE_MOMENTUM,long,26239.5,-129.5,0.0,60,z_reversal,1761768300.0
2025_10_30,FADE_MOMENTUM,short,26260.25,14.0,20.5,60,mean_reached,1761798900.0
2025_10_30,FADE_MOMENTUM,long,25954.5,113.5,113.5,12,mean_reached,1761856200.0
2025_11_06,FADE_MOMENTUM,long,25383.0,-66.0,0.0,60,mean_reached,1762443360.0
2025_11_06,FADE_MOMENTUM,long,25251.25,14.0,39.0,24,giveback,1762446900.0
2025_11_07,FADE_MOMENTUM,long,25046.25,78.0,78.0,24,mean_reached,1762525800.0
2025_11_07,FADE_MOMENTUM,long,24959.0,95.0,95.0,48,mean_reached,1762528980.0
2025_11_16,FADE_MOMENTUM,long,25086.5,-39.0,0.0,72,mean_reached,1763334000.0
2025_11_18,FADE_MOMENTUM,long,24394.0,45.5,45.5,36,mean_reached,1763481660.0
2025_11_18,FADE_MOMENTUM,long,24540.25,-60.5,0.0,72,mean_reached,1763486820.0
2025_11_20,FADE_MOMENTUM,short,25198.0,24.0,24.0,48,mean_reached,1763645400.0
2025_11_20,FADE_MOMENTUM,short,25230.5,70.0,70.0,24,mean_reached,1763649780.0
2025_11_20,FADE_MOMENTUM,short,24460.75,9.5,46.5,24,giveback,1763659260.0
2025_11_20,FADE_MOMENTUM,long,24335.0,201.0,201.0,48,z_reversal,1763660100.0
2025_11_20,FADE_MOMENTUM,long,24312.5,32.5,32.5,60,mean_reached,1763668860.0
2025_11_20,FADE_MOMENTUM,short,24164.0,9.5,50.0,60,giveback,1763671800.0
2025_11_21,FADE_MOMENTUM,short,24101.75,-160.5,15.0,84,hard_stop,1763728200.0
2025_11_21,FADE_MOMENTUM,long,24030.25,-17.0,33.0,24,giveback,1763740620.0
2025_11_21,FADE_MOMENTUM,short,24495.75,-7.0,0.0,48,mean_reached,1763750880.0
2025_12_05,FADE_MOMENTUM,short,25732.5,-29.5,0.0,60,mean_reached,1764945000.0
2025_12_11,FADE_MOMENTUM,short,25819.75,21.0,35.5,48,mean_reached,1765487700.0
2025_12_11,FADE_MOMENTUM,long,25713.25,-49.5,29.5,84,mean_reached,1765494000.0
2025_12_12,FADE_MOMENTUM,long,25232.25,29.0,65.5,36,giveback,1765555080.0
2025_12_12,FADE_MOMENTUM,short,25347.5,3.0,30.5,36,giveback,1765563120.0
2025_12_15,FADE_MOMENTUM,short,25228.75,8.0,38.0,24,giveback,1765811100.0
2025_12_15,FADE_MOMENTUM,long,25079.25,4.0,4.0,36,mean_reached,1765812240.0
