day,entry_tier,dir,entry_price,pnl,peak,held,exit_reason,timestamp
2025_11_14,EXHAUSTION_BAR,long,24636.75,633.0,633.0,276,exhaust_mean,1763130780.0
2025_11_16,EXHAUSTION_BAR,long,25059.5,-44.5,0.0,12,exhaust_no_conviction,1763334060.0
2025_11_18,EXHAUSTION_BAR,short,24796.75,59.5,59.5,24,exhaust_mean,1763494800.0
2025_11_19,EXHAUSTION_BAR,short,24611.75,57.5,68.5,221,exhaust_mean,1763515260.0
2025_11_19,EXHAUSTION_BAR,long,24780.25,-44.5,0.0,12,exhaust_no_conviction,1763567760.0
2025_11_19,EXHAUSTION_BAR,long,24617.0,20.0,62.0,48,giveback,1763571900.0
2025_11_19,EXHAUSTION_BAR,short,24875.5,83.0,83.0,36,exhaust_mean,1763587260.0
2025_11_20,EXHAUSTION_BAR,short,25222.25,68.0,72.5,48,exhaust_mean,1763645460.0
2025_11_21,EXHAUSTION_BAR,short,24129.25,22.5,70.0,36,giveback,1763728260.0
2025_11_21,EXHAUSTION_BAR,long,24260.5,13.0,37.5,24,giveback,1763748300.0
2025_11_21,EXHAUSTION_BAR,short,24510.75,-58.0,0.0,12,exhaust_no_conviction,1763750940.0
2025_11_21,EXHAUSTION_BAR,short,24548.5,72.0,98.5,24,exhaust_mean,1763751060.0
2025_11_23,EXHAUSTION_BAR,short,24510.5,37.5,47.0,48,exhaust_mean,1763938860.0
2025_11_24,EXHAUSTION_BAR,long,24384.25,31.5,69.5,96,giveback,1763976360.0
2025_11_24,EXHAUSTION_BAR,short,24649.25,-66.5,0.0,12,exhaust_no_conviction,1763994780.0
2025_12_02,EXHAUSTION_BAR,short,25593.0,3.0,3.0,48,exhaust_mean,1764686220.0
2025_12_03,EXHAUSTION_BAR,long,25558.5,-73.0,0.0,12,exhaust_no_conviction,1764770580.0
2025_12_03,EXHAUSTION_BAR,long,25519.5,-158.5,0.0,48,hard_stop,1764770700.0
2025_12_03,EXHAUSTION_BAR,long,25459.5,-38.5,0.0,12,exhaust_no_conviction,1764770880.0
2025_12_05,EXHAUSTION_BAR,short,25762.25,30.0,30.0,48,exhaust_mean,1764945060.0
2025_12_12,EXHAUSTION_BAR,long,25484.0,-65.5,0.0,60,exhaust_mean,1765551900.0
2025_12_16,EXHAUSTION_BAR,short,25111.75,26.5,26.5,36,exhaust_mean,1765891860.0
2025_12_16,EXHAUSTION_BAR,short,25087.25,46.0,46.0,24,exhaust_mean,1765895820.0
2025_12_17,EXHAUSTION_BAR,long,24990.75,-154.5,11.5,95,hard_stop,1765985760.0
2025_12_18,EXHAUSTION_BAR,short,24954.5,40.0,40.0,41,exhaust_mean,1766064660.0
2025_12_18,EXHAUSTION_BAR,long,24980.0,-32.0,17.5,60,exhaust_mean,1766068740.0
2025_12_18,EXHAUSTION_BAR,long,25063.75,-47.5,0.0,12,exhaust_no_conviction,1766077620.0
