feature,regime_2d,n,mean,std,median,p10,p90
L1_1h_body,FLAT_CHOPPY,18315,-0.5005050505050505,64.26484220930072,1.0,-62.5,62.0
L1_1h_body,FLAT_SMOOTH,9882,-1.0201376239627606,41.348405107818984,0.75,-40.75,37.0
L1_1h_body,UP_CHOPPY,3924,11.67125382262997,64.99706049831143,4.5,-34.75,65.25
L1_1h_body,UP_SMOOTH,7146,18.48411698852505,79.96891153489163,8.5,-27.25,71.5
L1_15m_price_velocity_1b,DOWN_CHOPPY,2988,-3.0947958500669346,29.53037501855246,-0.25,-36.75,27.0
L1_15m_price_velocity_1b,DOWN_SMOOTH,4662,-5.862183612183612,40.64755113159024,-2.0,-37.25,23.75
L1_15m_price_velocity_1b,FLAT_CHOPPY,18315,-0.09733824733824734,33.653712187289315,0.5,-29.25,28.25
L1_15m_price_velocity_1b,FLAT_SMOOTH,9888,0.1583232200647249,32.19061337031926,0.375,-21.25,20.75
L1_15m_price_velocity_1b,UP_CHOPPY,3924,2.972986748216106,45.44218590865593,0.75,-21.424999999999997,27.75
L1_15m_price_velocity_1b,UP_SMOOTH,7146,4.857892527287993,34.77047541798022,1.75,-17.75,28.5
L1_15m_price_accel_1b,DOWN_CHOPPY,2988,-0.14072958500669344,42.2530947007149,-0.25,-44.0,42.0
L1_15m_price_accel_1b,DOWN_SMOOTH,4662,-0.06166881166881167,57.379444425791135,-1.0,-45.25,46.25
L1_15m_price_accel_1b,FLAT_CHOPPY,18315,-0.002293202293202293,47.88692464338369,-0.75,-41.5,42.650000000000546
L1_15m_price_accel_1b,FLAT_SMOOTH,9885,0.1949165402124431,43.926828007997656,-0.5,-31.25,30.75
L1_15m_price_accel_1b,UP_CHOPPY,3924,-0.046827217125382264,68.2647055584406,0.0,-39.0,37.5
L1_15m_price_accel_1b,UP_SMOOTH,7146,0.050657710607332776,48.34786244423168,0.0,-32.5,32.75
L1_15m_vol_velocity_1b,DOWN_CHOPPY,2988,3.6308567603748325,13535.471930212252,-278.5,-8524.0,6778.0
L1_15m_vol_velocity_1b,DOWN_SMOOTH,4662,28.33075933075933,13711.458125677107,-214.5,-9634.0,6672.0
L1_15m_vol_velocity_1b,FLAT_CHOPPY,18315,-1.9192465192465193,12895.086889832877,-198.0,-8730.0,5558.0
L1_15m_vol_velocity_1b,FLAT_SMOOTH,9888,-2.3006674757281553,9835.192400809976,-185.0,-5909.0,4511.40000000002
L1_15m_vol_velocity_1b,UP_CHOPPY,3924,-34.97680937818553,13834.71025046138,-257.0,-8402.9,5464.0
L1_15m_vol_velocity_1b,UP_SMOOTH,7146,-5.1980128743352925,12469.08491463472,-189.0,-7270.0,4669.0
L1_15m_vol_accel_1b,DOWN_CHOPPY,2988,-10.134538152610443,21638.812711949584,492.0,-13268.0,13871.0
L1_15m_vol_accel_1b,DOWN_SMOOTH,4662,-16.835907335907336,21019.064749658246,590.0,-11758.0,14017.0
L1_15m_vol_accel_1b,FLAT_CHOPPY,18315,-16.333114933114935,19893.30769996887,372.0,-10427.0,12605.800000000061
L1_15m_vol_accel_1b,FLAT_SMOOTH,9885,-1.9048052604957006,15399.710486957036,379.0,-7716.0,9812.0
L1_15m_vol_accel_1b,UP_CHOPPY,3924,-21.386340468909275,21486.578702295254,505.0,-9870.0,12247.60000000001
L1_15m_vol_accel_1b,UP_SMOOTH,7146,-8.372096277637839,19439.212619842387,441.0,-8782.0,11003.0
L1_15m_bar_range,DOWN_CHOPPY,2988,39.73393574297189,29.876130019352658,30.0,12.75,79.25
L1_15m_bar_range,DOWN_SMOOTH,4662,43.89033676533676,42.089788672374546,30.0,13.5,94.5
L1_15m_bar_range,FLAT_CHOPPY,18315,39.746341796341795,38.39225626334715,27.25,11.25,83.75
L1_15m_bar_range,FLAT_SMOOTH,9890,29.62189079878665,25.168563460720467,22.25,9.75,57.5
L1_15m_bar_range,UP_CHOPPY,3924,40.37251529051988,61.616925934599294,25.5,10.0,80.10000000000014
