**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,regime_a,regime_b,pair,cohen_d,abs_d
L1_4h_price_accel_1b,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,-0.07042637358506382,0.07042637358506382
L1_4h_price_accel_1b,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,-0.0023373298673263444,0.0023373298673263444
L1_4h_vol_velocity_1b,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,0.042867180072685536,0.042867180072685536
L1_4h_vol_velocity_1b,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,0.0399058096380789,0.0399058096380789
L1_4h_vol_velocity_1b,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,0.1394133031059842,0.1394133031059842
L1_4h_vol_velocity_1b,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,0.0442101615012898,0.0442101615012898
L1_4h_vol_velocity_1b,DOWN_CHOPPY,UP_SMOOTH,DOWN_CHOPPY__vs__UP_SMOOTH,0.05910242411161767,0.05910242411161767
L1_4h_vol_velocity_1b,DOWN_SMOOTH,FLAT_CHOPPY,DOWN_SMOOTH__vs__FLAT_CHOPPY,-0.003715605708158167,0.003715605708158167
L1_4h_vol_velocity_1b,DOWN_SMOOTH,FLAT_SMOOTH,DOWN_SMOOTH__vs__FLAT_SMOOTH,0.08687834945090563,0.08687834945090563
L1_4h_vol_velocity_1b,DOWN_SMOOTH,UP_CHOPPY,DOWN_SMOOTH__vs__UP_CHOPPY,0.00016780147412692254,0.00016780147412692254
L1_4h_vol_velocity_1b,DOWN_SMOOTH,UP_SMOOTH,DOWN_SMOOTH__vs__UP_SMOOTH,0.01119947225089546,0.01119947225089546
L1_4h_vol_velocity_1b,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,0.08626580174890203,0.08626580174890203
L1_4h_vol_velocity_1b,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,0.003918120007877128,0.003918120007877128
L1_4h_vol_velocity_1b,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,0.01471972653521975,0.01471972653521975
L1_4h_vol_velocity_1b,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,-0.08899398867883786,0.08899398867883786
L1_4h_vol_velocity_1b,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,-0.07937423080001206,0.07937423080001206
L1_4h_vol_velocity_1b,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,0.011312964501984907,0.011312964501984907
L1_4h_vol_accel_1b,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,-0.05284725239697566,0.05284725239697566
L1_4h_vol_accel_1b,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,0.02433525892102027,0.02433525892102027
L1_4h_vol_accel_1b,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,0.01884017264093116,0.01884017264093116
L1_4h_vol_accel_1b,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,0.026540497696639128,0.026540497696639128
L1_4h_vol_accel_1b,DOWN_CHOPPY,UP_SMOOTH,DOWN_CHOPPY__vs__UP_SMOOTH,-0.018692626785939817,0.018692626785939817
L1_4h_vol_accel_1b,DOWN_SMOOTH,FLAT_CHOPPY,DOWN_SMOOTH__vs__FLAT_CHOPPY,0.07675702610008676,0.07675702610008676
L1_4h_vol_accel_1b,DOWN_SMOOTH,FLAT_SMOOTH,DOWN_SMOOTH__vs__FLAT_SMOOTH,0.07759428785794617,0.07759428785794617
