trade_id,side,qty,entry_dt,exit_dt,entry_px,exit_px,entry_name,exit_name,pnl_usd,commission
858,Short,1,2026-04-15 15:08:59+00:00,2026-04-15 15:13:59+00:00,26141.5,26178.0,ShortAtHighPivot,PivotExitShort,-74.9,1.9
859,Long,1,2026-04-15 15:13:59+00:00,2026-04-15 16:30:59+00:00,26178.0,26216.5,LongAtLowPivot,PivotExitLong,75.1,1.9
860,Short,1,2026-04-15 16:30:59+00:00,2026-04-15 16:51:59+00:00,26216.5,26165.25,ShortAtHighPivot,PivotExitShort,100.6,1.9
861,Long,1,2026-04-15 16:51:59+00:00,2026-04-15 16:53:59+00:00,26165.25,26131.5,LongAtLowPivot,PivotExitLong,-69.4,1.9
862,Short,1,2026-04-15 16:53:59+00:00,2026-04-15 17:01:59+00:00,26131.5,26154.5,ShortAtHighPivot,PivotExitShort,-47.9,1.9
863,Long,1,2026-04-15 17:01:59+00:00,2026-04-15 17:43:59+00:00,26154.5,26186.75,LongAtLowPivot,PivotExitLong,62.6,1.9
864,Short,1,2026-04-15 17:43:59+00:00,2026-04-15 17:54:59+00:00,26186.75,26211.75,ShortAtHighPivot,PivotExitShort,-51.9,1.9
865,Long,1,2026-04-15 17:54:59+00:00,2026-04-15 18:01:59+00:00,26211.75,26178.0,LongAtLowPivot,PivotExitLong,-69.4,1.9
866,Short,1,2026-04-15 18:01:59+00:00,2026-04-15 18:03:59+00:00,26178.0,26209.25,ShortAtHighPivot,PivotExitShort,-64.4,1.9
867,Long,1,2026-04-15 18:03:59+00:00,2026-04-15 20:12:59+00:00,26209.25,26335.75,LongAtLowPivot,PivotExitLong,251.1,1.9
868,Short,1,2026-04-15 20:12:59+00:00,2026-04-15 20:55:59+00:00,26335.75,26352.5,ShortAtHighPivot,EodExitShort,-35.4,1.9
869,Long,1,2026-04-16 00:00:59+00:00,2026-04-16 05:03:59+00:00,26407.25,26419.75,LongAtLowPivot,PivotExitLong,23.1,1.9
870,Short,1,2026-04-16 05:03:59+00:00,2026-04-16 05:31:59+00:00,26419.75,26452.0,ShortAtHighPivot,PivotExitShort,-66.4,1.9
871,Long,1,2026-04-16 05:31:59+00:00,2026-04-16 07:57:59+00:00,26452.0,26455.0,LongAtLowPivot,PivotExitLong,4.1,1.9
872,Short,1,2026-04-16 07:57:59+00:00,2026-04-16 08:58:59+00:00,26455.0,26442.75,ShortAtHighPivot,PivotExitShort,22.6,1.9
873,Long,1,2026-04-16 08:58:59+00:00,2026-04-16 10:30:59+00:00,26442.75,26432.5,LongAtLowPivot,PivotExitLong,-22.4,1.9
874,Short,1,2026-04-16 10:30:59+00:00,2026-04-16 10:54:59+00:00,26432.5,26396.0,ShortAtHighPivot,PivotExitShort,71.1,1.9
875,Long,1,2026-04-16 10:54:59+00:00,2026-04-16 11:27:59+00:00,26396.0,26388.5,LongAtLowPivot,PivotExitLong,-16.9,1.9
876,Short,1,2026-04-16 11:27:59+00:00,2026-04-16 11:35:59+00:00,26388.5,26420.5,ShortAtHighPivot,PivotExitShort,-65.9,1.9
877,Long,1,2026-04-16 11:35:59+00:00,2026-04-16 12:55:59+00:00,26420.5,26396.0,LongAtLowPivot,PivotExitLong,-50.9,1.9
878,Short,1,2026-04-16 12:55:59+00:00,2026-04-16 13:29:59+00:00,26396.0,26426.25,ShortAtHighPivot,PivotExitShort,-62.4,1.9
879,Long,1,2026-04-16 13:29:59+00:00,2026-04-16 13:31:59+00:00,26426.25,26395.75,LongAtLowPivot,PivotExitLong,-62.9,1.9
880,Short,1,2026-04-16 13:31:59+00:00,2026-04-16 13:41:59+00:00,26395.75,26399.75,ShortAtHighPivot,PivotExitShort,-9.9,1.9
881,Long,1,2026-04-16 13:41:59+00:00,2026-04-16 13:42:59+00:00,26399.75,26353.75,LongAtLowPivot,PivotExitLong,-93.9,1.9
882,Short,1,2026-04-16 13:42:59+00:00,2026-04-16 13:45:59+00:00,26353.75,26393.0,ShortAtHighPivot,PivotExitShort,-80.4,1.9
883,Long,1,2026-04-16 13:45:59+00:00,2026-04-16 13:51:59+00:00,26393.0,26359.5,LongAtLowPivot,PivotExitLong,-68.9,1.9
884,Short,1,2026-04-16 13:51:59+00:00,2026-04-16 13:57:59+00:00,26359.5,26312.5,ShortAtHighPivot,PivotExitShort,92.1,1.9
885,Long,1,2026-04-16 13:57:59+00:00,2026-04-16 14:18:59+00:00,26312.5,26328.75,LongAtLowPivot,PivotExitLong,30.6,1.9
886,Short,1,2026-04-16 14:18:59+00:00,2026-04-16 14:29:59+00:00,26328.75,26362.0,ShortAtHighPivot,PivotExitShort,-68.4,1.9
887,Long,1,2026-04-16 14:29:59+00:00,2026-04-16 15:30:59+00:00,26362.0,26458.0,LongAtLowPivot,PivotExitLong,190.1,1.9
888,Short,1,2026-04-16 15:30:59+00:00,2026-04-16 15:35:59+00:00,26458.0,26488.75,ShortAtHighPivot,PivotExitShort,-63.4,1.9
889,Long,1,2026-04-16 15:35:59+00:00,2026-04-16 15:43:59+00:00,26488.75,26486.5,LongAtLowPivot,PivotExitLong,-6.4,1.9
890,Short,1,2026-04-16 15:43:59+00:00,2026-04-16 15:56:59+00:00,26486.5,26520.25,ShortAtHighPivot,PivotExitShort,-69.4,1.9
