**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,seg_idx,shape,skew,r,mean_sigma,start_ts,end_ts,length_min,parent_phrase_idx,shape_class
2025_01_10,IS,0,GENTLE_CONCAVE_DOWN,SYMMETRIC,0.9269801138482286,11.073156725597332,1736543700,1736546395,44.9,6,GENTLE_CONCAVE_DOWN
2025_01_12,IS,0,NOISE,NONE,-2.0,17.91742495493612,1736722800,1736726395,59.9,0,NOISE
2025_01_13,IS,0,NOISE,NONE,-2.0,9.620492492118464,1736726400,1736730650,70.8,0,NOISE
2025_01_13,IS,0,GENTLE_CONVEX_DOWN,FRONT_SKEWED,0.938443550704539,13.205536127666296,1736732350,1736745000,210.8,1,GENTLE_CONVEX_DOWN
2025_01_13,IS,1,GENTLE_CONCAVE_DOWN,BACK_SKEWED,0.8515324219335516,6.082901071698327,1736745000,1736747100,35.0,1,GENTLE_CONCAVE_DOWN
2025_01_13,IS,2,FLATLINE,NONE,0.0,9.004175477763695,1736747100,1736748900,30.0,1,FLATLINE
2025_01_13,IS,3,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9807787898578452,12.47314238212398,1736748900,1736751600,45.0,1,STEEP_CONCAVE_UP
2025_01_13,IS,0,GENTLE_LINEAR_DOWN,NONE,0.9809059455439652,7.584355542844953,1736751600,1736755700,68.3,2,GENTLE_LINEAR_DOWN
2025_01_13,IS,0,STEEP_LINEAR_DOWN,NONE,0.9447237016794244,23.154730569618565,1736755700,1736764885,153.1,3,STEEP_LINEAR_DOWN
2025_01_13,IS,1,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9239739550728266,9.64719408665884,1736764885,1736770500,93.6,3,GENTLE_CONCAVE_UP
2025_01_13,IS,2,FLATLINE,NONE,0.0,15.14785756926864,1736770500,1736771100,10.0,3,FLATLINE
2025_01_13,IS,3,STEEP_CONVEX_UP,BACK_SKEWED,0.9635860816510684,23.555862797917317,1736771100,1736772300,20.0,3,STEEP_CONVEX_UP
2025_01_13,IS,0,GENTLE_CONCAVE_UP,SYMMETRIC,0.8945998672210651,15.443766991772508,1736772300,1736777700,90.0,4,GENTLE_CONCAVE_UP
