date,n_bigpos,n_bigneg,n_total,regime_2d,tf,actual,pred
2025-06-02,24,0,276,UP_CHOPPY,1h,UP,UP
2025-06-03,0,0,276,UP_CHOPPY,1h,UP,ABSTAIN
2025-06-04,12,12,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-06-05,36,48,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-06-06,24,24,168,UP_CHOPPY,1h,UP,ABSTAIN
2025-06-08,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-06-09,0,12,276,FLAT_SMOOTH,1h,FLAT,DOWN
2025-06-10,24,0,276,FLAT_CHOPPY,1h,FLAT,UP
2025-06-11,12,24,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-06-12,24,24,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-06-13,24,12,168,FLAT_CHOPPY,1h,FLAT,UP
2025-06-15,12,0,108,UP_SMOOTH,1h,UP,UP
2025-06-16,12,0,276,FLAT_CHOPPY,1h,FLAT,UP
2025-06-17,0,12,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-06-18,24,12,276,FLAT_CHOPPY,1h,FLAT,UP
2025-06-19,12,12,228,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-06-20,0,0,78,UP_SMOOTH,1h,UP,ABSTAIN
2025-06-30,0,0,84,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-07-01,0,24,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-07-02,24,0,276,FLAT_CHOPPY,1h,FLAT,UP
2025-07-03,12,0,231,FLAT_CHOPPY,1h,FLAT,UP
2025-07-04,0,0,120,DOWN_SMOOTH,1h,DOWN,ABSTAIN
2025-07-06,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-07-07,0,12,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-07-08,0,0,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-07-09,12,12,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-07-10,0,24,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-07-11,0,0,168,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-07-13,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-07-14,24,12,276,UP_SMOOTH,1h,UP,UP
2025-07-15,0,0,276,DOWN_CHOPPY,1h,DOWN,ABSTAIN
2025-07-16,12,12,276,UP_CHOPPY,1h,UP,ABSTAIN
2025-07-17,0,0,276,UP_CHOPPY,1h,UP,ABSTAIN
2025-07-18,0,0,168,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-07-20,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-07-21,12,0,276,FLAT_CHOPPY,1h,FLAT,UP
2025-07-22,12,12,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-07-23,24,12,276,FLAT_CHOPPY,1h,FLAT,UP
2025-07-24,0,0,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-07-25,0,0,168,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-07-27,0,0,108,UP_SMOOTH,1h,UP,ABSTAIN
2025-07-28,0,0,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-07-29,0,0,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-07-30,24,12,276,UP_SMOOTH,1h,UP,UP
2025-07-31,12,60,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-08-01,36,36,168,DOWN_SMOOTH,1h,DOWN,ABSTAIN
2025-08-03,0,0,108,UP_SMOOTH,1h,UP,ABSTAIN
2025-08-04,12,0,276,UP_SMOOTH,1h,UP,UP
2025-08-05,0,24,276,DOWN_CHOPPY,1h,DOWN,DOWN
2025-08-06,24,0,276,UP_SMOOTH,1h,UP,UP
2025-08-07,12,24,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-08-08,12,0,168,UP_SMOOTH,1h,UP,UP
2025-08-10,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-08-11,0,0,276,DOWN_CHOPPY,1h,DOWN,ABSTAIN
2025-08-12,24,12,276,UP_SMOOTH,1h,UP,UP
2025-08-13,0,0,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-08-14,12,12,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-08-15,0,24,168,DOWN_CHOPPY,1h,DOWN,DOWN
2025-08-17,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-08-18,0,0,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-08-19,0,24,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-08-20,36,24,276,FLAT_CHOPPY,1h,FLAT,UP
2025-08-21,12,24,276,DOWN_CHOPPY,1h,DOWN,DOWN
2025-08-22,24,12,168,UP_SMOOTH,1h,UP,UP
2025-08-24,0,0,108,DOWN_SMOOTH,1h,DOWN,ABSTAIN
2025-08-25,0,12,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-08-26,0,0,276,UP_CHOPPY,1h,UP,ABSTAIN
2025-08-27,0,12,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-08-28,12,12,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-08-29,0,24,168,DOWN_SMOOTH,1h,DOWN,DOWN
2025-08-31,0,0,108,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-09-01,0,0,228,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-09-02,36,48,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-09-03,24,24,276,UP_CHOPPY,1h,UP,ABSTAIN
2025-09-04,12,0,276,UP_SMOOTH,1h,UP,UP
2025-09-05,24,12,168,FLAT_CHOPPY,1h,FLAT,UP
2025-09-07,0,0,108,UP_SMOOTH,1h,UP,ABSTAIN
2025-09-08,0,0,276,UP_SMOOTH,1h,UP,ABSTAIN
2025-09-09,0,12,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-09-10,0,12,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-09-11,12,0,276,UP_CHOPPY,1h,UP,UP
2025-09-12,0,0,168,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-09-14,0,0,108,UP_SMOOTH,1h,UP,ABSTAIN
2025-09-15,0,0,276,UP_SMOOTH,1h,UP,ABSTAIN
2025-09-16,0,0,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-09-17,12,12,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-09-18,24,0,276,FLAT_CHOPPY,1h,FLAT,UP
2025-09-19,0,0,78,UP_SMOOTH,1h,UP,ABSTAIN
2025-09-30,12,0,84,DOWN_SMOOTH,1h,DOWN,UP
2025-10-01,24,12,276,UP_SMOOTH,1h,UP,UP
2025-10-02,0,12,276,UP_CHOPPY,1h,UP,DOWN
2025-10-03,12,12,168,DOWN_SMOOTH,1h,DOWN,ABSTAIN
2025-10-05,0,0,108,UP_SMOOTH,1h,UP,ABSTAIN
2025-10-06,0,0,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-10-07,0,12,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-10-08,12,0,276,UP_SMOOTH,1h,UP,UP
2025-10-09,0,0,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-10-10,12,60,168,DOWN_SMOOTH,1h,DOWN,DOWN
2025-10-12,24,12,108,UP_SMOOTH,1h,UP,UP
2025-10-13,48,48,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-10-14,48,48,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-10-15,12,24,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-10-16,24,60,276,DOWN_CHOPPY,1h,DOWN,DOWN
2025-10-17,72,36,168,UP_SMOOTH,1h,UP,UP
2025-10-19,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-10-20,24,0,276,UP_CHOPPY,1h,UP,UP
