**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,pick_time_utc,direction,price,snap,mfe_dollars,mae_dollars,rr,is_winner,z_15s,z_1m,z_15m,z_1h_high,z_1h_low,z_1h_close,slope_15s_3m,slope_15s_10m,slope_1m_10m,slope_15m_5m,slope_15m_15m,slope_15m_decel,curv_15m,band_width,band_rank_60,sigma_15m_rank_60,slope_15s_flipped_dn,slope_15s_flipped_up,align_up_count,align_down_count,align_state,crm_stack,dist_15s_1m,dist_1m_15m,dist_15s_15m,fan_width,fan_change_10m,bars_since_15s_x_1m_up,bars_since_15s_x_1m_dn,bars_since_1m_x_15m_up,bars_since_1m_x_15m_dn,bars_since_px_x_15m_up,bars_since_px_x_15m_dn,dist_15s_to_Mh_sigma,near_1h_Mh,above_1h_Mh,dist_15s_to_Ml_sigma,near_1h_Ml,below_1h_Ml,bars_since_15s_x_Mh_up,bars_since_15s_x_Mh_dn,bars_since_15s_x_Ml_up,bars_since_15s_x_Ml_dn,dist_15m_to_Mh_sigma,15m_near_1h_Mh,15m_above_1h_Mh,dist_15m_to_Ml_sigma,15m_near_1h_Ml,15m_below_1h_Ml,bars_since_15m_x_Mh_up,bars_since_15m_x_Mh_dn,bars_since_15m_x_Ml_up,bars_since_15m_x_Ml_dn,bars_since_any_cross_up,bars_since_any_cross_dn,align_matches_dir,align_against_dir,v6_fires_short,v6_fires_long,compression_short,compression_long,structural_short,structural_long
2025-01-06,2025-01-08 15:03:00,SHORT,21386.25,L,325.5,16.5,19.727272727272727,1,2.01,1.94,1.887,-0.789,0.736,0.207,8.158,0.314,0.733,-0.333,-0.111,-0.222,-0.0222,69.54,0.933,0.0,0,0,2,1,DIVERGENT,15s>1m>15m,0.332,0.626,0.841,1.799,0.012,1,8,68,76,8,11,-2.47,0,0,0.11,1,0,305,222,0,54,-3.822,0,0,-0.393,1,1,228,213,723,138,1,8,0,1,0,0,0,0,0,0
2025-01-06,2025-01-08 15:16:00,LONG,21237.0,L,241.0,16.5,14.606060606060606,1,-0.423,-1.339,-1.175,-6.189,-1.275,-2.521,-17.987,-11.031,-1.768,-1.062,-0.354,-0.708,-0.0708,69.54,0.717,0.967,0,0,0,3,FULL_DOWN,1m>15m>15s,-1.129,0.409,-0.926,2.465,-0.495,14,5,81,89,21,6,-5.734,0,0,-1.105,0,1,318,235,13,4,-4.034,0,0,-0.472,1,1,241,226,736,151,14,5,0,1,0,0,0,0,0,1
2025-01-06,2025-01-08 15:20:00,LONG,21292.75,H,158.5,93.5,1.695187165775401,0,-0.645,-1.067,-1.359,-6.527,-1.4,-2.692,1.071,-9.953,-5.622,0.0,-0.354,0.354,0.0354,69.54,0.65,0.9,0,1,0,3,FULL_DOWN,15m>1m>15s,-0.824,-0.235,-1.103,2.161,-0.437,18,9,85,1,25,10,-6.057,0,0,-1.226,0,1,322,239,17,8,-4.034,0,0,-0.472,1,1,245,230,740,155,18,1,0,1,0,0,0,0,0,1
2025-01-06,2025-01-08 16:45:00,SHORT,21411.0,H,486.5,6.5,74.84615384615384,1,0.19,1.022,1.54,-0.505,0.925,0.396,2.812,4.376,2.852,1.396,0.465,0.931,0.0931,81.08,0.233,0.983,0,0,3,0,FULL_UP,15s>1m>15m,0.936,1.042,1.499,3.476,0.162,11,15,23,33,29,30,-0.576,0,0,0.901,0,0,407,324,24,29,-3.104,0,0,0.038,1,0,330,315,0,240,11,15,0,1,0,0,0,0,0,0
2025-01-06,2025-01-08 16:51:00,SHORT,21395.25,H,443.5,11.5,38.56521739130435,1,-1.25,-0.751,1.264,-0.971,0.766,0.161,-1.65,1.128,3.355,0.0,0.465,-0.465,-0.0465,81.08,0.133,0.883,1,0,3,0,FULL_UP,15s>1m>15m,0.132,1.434,1.464,3.03,-0.068,17,21,29,39,35,36,-0.634,0,0,0.881,0,0,413,330,30,35,-3.104,0,0,0.038,1,0,336,321,6,246,17,21,0,1,0,0,0,0,0,0
2025-01-06,2025-01-08 17:39:00,LONG,21202.75,L,386.5,22.5,17.177777777777777,1,-1.763,-0.568,-1.93,-8.424,-1.676,-3.586,2.317,-2.501,-4.785,0.0,-0.917,0.917,0.0917,89.38,0.333,0.833,0,1,0,3,FULL_DOWN,15m>1m>15s,-0.105,-1.741,-1.776,3.622,0.097,65,47,77,24,83,33,-8.053,0,0,-1.549,0,1,461,378,78,28,-3.78,0,0,-0.081,1,1,384,369,54,9,65,24,0,1,0,1,0,0,0,1
2025-01-06,2025-01-08 17:52:00,LONG,21239.75,L,322.0,0.0,644.0,1,5.278,2.549,-0.795,-6.144,-0.893,-2.436,-1.75,1.925,2.147,0.0,-0.621,0.621,0.0621,89.38,0.117,0.867,1,0,2,1,DIVERGENT,15m>15s>1m,0.379,-1.272,-1.201,2.853,0.096,11,60,90,37,96,46,-7.164,0,0,-1.244,0,1,474,391,91,41,-4.149,0,0,-0.208,1,1,397,382,67,22,11,37,0,0,0,0,0,1,0,1
2025-01-06,2025-01-08 18:37:00,SHORT,21380.5,H,189.5,21.5,8.813953488372093,1,0.208,-0.224,0.758,-1.67,0.736,-0.005,-1.704,0.465,1.905,0.0,0.531,-0.531,-0.0531,104.56,0.367,0.867,1,0,3,0,FULL_UP,1m>15s>15m,-0.313,0.803,0.74,1.856,-0.096,56,2,25,82,35,91,-1.715,0,0,0.722,0,0,519,436,31,86,-3.539,0,0,0.156,1,0,442,427,22,67,25,2,0,1,0,0,0,0,0,0
2025-01-06,2025-01-08 18:43:00,SHORT,21366.75,H,151.5,38.5,3.935064935064935,1,-1.631,-1.159,0.644,-1.95,0.649,-0.131,0.088,-0.429,0.515,0.0,0.531,-0.531,-0.0531,104.56,0.267,0.767,0,1,2,1,DIVERGENT,15s>1m>15m,0.201,0.831,0.863,1.896,-0.054,2,8,31,88,41,97,-1.41,0,0,0.817,0,0,525,442,37,92,-3.539,0,0,0.156,1,0,448,433,28,73,2,8,0,1,0,0,0,0,0,0
2025-01-06,2025-01-08 19:04:00,LONG,21302.75,L,247.5,8.5,29.11764705882353,1,0.374,-0.001,-0.152,-3.858,0.215,-0.851,-0.987,-2.019,-3.852,-0.554,-0.185,-0.369,-0.0369,113.17,0.917,0.667,0,0,0,3,FULL_DOWN,15m>1m>15s,-0.245,-0.152,-0.21,0.606,-0.016,23,19,52,2,62,12,-4.01,0,0,0.167,1,0,546,463,4,7,-3.463,0,0,0.34,1,0,469,454,49,94,23,2,0,1,0,0,0,0,0,0
