split,side,anchor,axis,bin,n,threshold_min,p_continue,cilo,cihi,med_duration,mean_duration,p10_duration,p90_duration,mean_max_z
IS,below,high,curvature_q,0,913,5,0.4361,0.4041,0.4683,3.8,15.8,1.2,43.0,4.1
IS,below,high,curvature_q,0,913,10,0.2885,0.2596,0.3183,3.8,15.8,1.2,43.0,4.1
IS,below,high,curvature_q,0,913,20,0.1825,0.1582,0.2082,3.8,15.8,1.2,43.0,4.1
IS,below,high,curvature_q,0,913,30,0.1399,0.1182,0.1631,3.8,15.8,1.2,43.0,4.1
IS,below,high,curvature_q,1,693,3,0.5856,0.5488,0.622,3.7,20.1,1.2,68.4,4.65
IS,below,high,curvature_q,1,693,5,0.4374,0.4007,0.4744,3.7,20.1,1.2,68.4,4.65
IS,below,high,curvature_q,1,693,10,0.3094,0.2755,0.3442,3.7,20.1,1.2,68.4,4.65
IS,below,high,curvature_q,1,693,20,0.2201,0.1901,0.2517,3.7,20.1,1.2,68.4,4.65
IS,below,high,curvature_q,1,693,30,0.1856,0.1576,0.2153,3.7,20.1,1.2,68.4,4.65
IS,below,high,curvature_q,2,458,3,0.5391,0.4935,0.5845,3.2,17.0,1.2,55.5,4.45
IS,below,high,curvature_q,2,458,5,0.3935,0.3493,0.4385,3.2,17.0,1.2,55.5,4.45
IS,below,high,curvature_q,2,458,10,0.2717,0.2321,0.3133,3.2,17.0,1.2,55.5,4.45
IS,below,high,curvature_q,2,458,20,0.1783,0.1447,0.2145,3.2,17.0,1.2,55.5,4.45
IS,below,high,curvature_q,2,458,30,0.1478,0.1169,0.1816,3.2,17.0,1.2,55.5,4.45
IS,below,low,curvature_q,0,333,3,0.5522,0.4988,0.6051,3.6,8.4,1.2,23.1,4.18
IS,below,low,curvature_q,0,333,5,0.4269,0.3744,0.4801,3.6,8.4,1.2,23.1,4.18
IS,below,low,curvature_q,0,333,10,0.2746,0.2282,0.3236,3.6,8.4,1.2,23.1,4.18
IS,below,low,curvature_q,0,333,20,0.1254,0.0922,0.1628,3.6,8.4,1.2,23.1,4.18
IS,below,low,curvature_q,0,333,30,0.0567,0.0346,0.0838,3.6,8.4,1.2,23.1,4.18
IS,below,low,curvature_q,1,89,3,0.5934,0.4913,0.6916,4.2,9.5,1.2,22.2,5.72
IS,below,low,curvature_q,1,89,5,0.4725,0.3713,0.5749,4.2,9.5,1.2,22.2,5.72
IS,below,low,curvature_q,1,89,10,0.3187,0.2275,0.4174,4.2,9.5,1.2,22.2,5.72
IS,below,low,curvature_q,1,89,20,0.1538,0.0877,0.2343,4.2,9.5,1.2,22.2,5.72
IS,below,low,curvature_q,1,89,30,0.0769,0.0318,0.1395,4.2,9.5,1.2,22.2,5.72
IS,below,low,curvature_q,2,33,3,0.6,0.4356,0.7535,4.4,12.6,1.2,30.0,5.81
IS,below,low,curvature_q,2,33,5,0.4571,0.2978,0.6211,4.4,12.6,1.2,30.0,5.81
IS,below,low,curvature_q,2,33,10,0.3714,0.2217,0.5351,4.4,12.6,1.2,30.0,5.81
IS,below,low,curvature_q,2,33,20,0.2286,0.1075,0.379,4.4,12.6,1.2,30.0,5.81
IS,below,low,curvature_q,2,33,30,0.1429,0.0495,0.2745,4.4,12.6,1.2,30.0,5.81
OOS,above,high,curvature_q,1,31,3,0.5455,0.3766,0.7091,3.1,9.3,1.2,28.8,3.05
OOS,above,high,curvature_q,1,31,5,0.3939,0.237,0.5631,3.1,9.3,1.2,28.8,3.05
OOS,above,high,curvature_q,1,31,10,0.2424,0.1146,0.3997,3.1,9.3,1.2,28.8,3.05
OOS,above,high,curvature_q,1,31,20,0.1818,0.0721,0.3279,3.1,9.3,1.2,28.8,3.05
OOS,above,high,curvature_q,1,31,30,0.0606,0.0077,0.1622,3.1,9.3,1.2,28.8,3.05
OOS,above,high,curvature_q,2,73,3,0.4933,0.3814,0.6056,2.9,7.0,1.2,15.4,3.04
OOS,above,high,curvature_q,2,73,5,0.3867,0.2804,0.4987,2.9,7.0,1.2,15.4,3.04
OOS,above,high,curvature_q,2,73,10,0.2,0.1181,0.297,2.9,7.0,1.2,15.4,3.04
OOS,above,high,curvature_q,2,73,20,0.0933,0.0389,0.1682,2.9,7.0,1.2,15.4,3.04
OOS,above,high,curvature_q,2,73,30,0.0533,0.0149,0.1139,2.9,7.0,1.2,15.4,3.04
OOS,above,low,curvature_q,0,61,3,0.5873,0.4645,0.7049,3.8,17.1,1.1,46.9,3.04
OOS,above,low,curvature_q,0,61,5,0.4762,0.355,0.5988,3.8,17.1,1.1,46.9,3.04
OOS,above,low,curvature_q,0,61,10,0.3651,0.2516,0.4866,3.8,17.1,1.1,46.9,3.04
OOS,above,low,curvature_q,0,61,20,0.2222,0.1293,0.3318,3.8,17.1,1.1,46.9,3.04
OOS,above,low,curvature_q,0,61,30,0.1905,0.1042,0.2953,3.8,17.1,1.1,46.9,3.04
OOS,above,low,curvature_q,1,138,3,0.5786,0.4961,0.6589,3.7,20.5,1.2,65.2,3.03
OOS,above,low,curvature_q,1,138,5,0.4143,0.3343,0.4966,3.7,20.5,1.2,65.2,3.03
OOS,above,low,curvature_q,1,138,10,0.3143,0.2403,0.3933,3.7,20.5,1.2,65.2,3.03
OOS,above,low,curvature_q,1,138,20,0.2286,0.1631,0.3014,3.7,20.5,1.2,65.2,3.03
OOS,above,low,curvature_q,1,138,30,0.1857,0.126,0.2539,3.7,20.5,1.2,65.2,3.03
OOS,above,low,curvature_q,2,224,3,0.5487,0.4836,0.6129,3.5,15.9,1.2,43.8,3.02
OOS,above,low,curvature_q,2,224,5,0.4027,0.3397,0.4672,3.5,15.9,1.2,43.8,3.02
OOS,above,low,curvature_q,2,224,10,0.292,0.2347,0.3529,3.5,15.9,1.2,43.8,3.02
OOS,above,low,curvature_q,2,224,20,0.2168,0.1657,0.2727,3.5,15.9,1.2,43.8,3.02
OOS,above,low,curvature_q,2,224,30,0.177,0.1301,0.2292,3.5,15.9,1.2,43.8,3.02
OOS,below,high,curvature_q,0,205,3,0.6232,0.5563,0.6878,4.8,20.9,1.1,57.3,4.12
OOS,below,high,curvature_q,0,205,5,0.4831,0.4154,0.5511,4.8,20.9,1.1,57.3,4.12
OOS,below,high,curvature_q,0,205,10,0.3188,0.2572,0.3838,4.8,20.9,1.1,57.3,4.12
OOS,below,high,curvature_q,0,205,20,0.2415,0.1858,0.302,4.8,20.9,1.1,57.3,4.12
OOS,below,high,curvature_q,0,205,30,0.1836,0.134,0.239,4.8,20.9,1.1,57.3,4.12
OOS,below,high,curvature_q,1,108,3,0.6091,0.5166,0.6978,5.2,22.8,1.2,88.8,4.53
OOS,below,high,curvature_q,1,108,5,0.5182,0.4251,0.6106,5.2,22.8,1.2,88.8,4.53
OOS,below,high,curvature_q,1,108,10,0.3636,0.2767,0.4553,5.2,22.8,1.2,88.8,4.53
OOS,below,high,curvature_q,1,108,20,0.2364,0.1621,0.3197,5.2,22.8,1.2,88.8,4.53
OOS,below,high,curvature_q,1,108,30,0.1818,0.1158,0.2587,5.2,22.8,1.2,88.8,4.53
OOS,below,high,curvature_q,2,89,3,0.5824,0.4802,0.6812,3.9,18.1,1.3,68.5,4.39
OOS,below,high,curvature_q,2,89,5,0.3956,0.2981,0.4974,3.9,18.1,1.3,68.5,4.39
OOS,below,high,curvature_q,2,89,10,0.2637,0.1789,0.3584,3.9,18.1,1.3,68.5,4.39
OOS,below,high,curvature_q,2,89,20,0.2088,0.1321,0.2975,3.9,18.1,1.3,68.5,4.39
OOS,below,high,curvature_q,2,89,30,0.1538,0.0877,0.2343,3.9,18.1,1.3,68.5,4.39
OOS,below,low,curvature_q,0,73,3,0.5733,0.4606,0.6823,3.8,8.2,1.3,19.4,4.05
OOS,below,low,curvature_q,0,73,5,0.36,0.256,0.4711,3.8,8.2,1.3,19.4,4.05
OOS,below,low,curvature_q,0,73,10,0.2,0.1181,0.297,3.8,8.2,1.3,19.4,4.05
OOS,below,low,curvature_q,0,73,20,0.1067,0.0478,0.1852,3.8,8.2,1.3,19.4,4.05
OOS,below,low,curvature_q,0,73,30,0.08,0.0303,0.1507,3.8,8.2,1.3,19.4,4.05
