timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1775800410,25263.75,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,40.5,16.5,3,
1775800415,25263.50,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,42.0,16.5,3,
1775800420,25265.25,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,31.5,16.5,3,
1775800425,25265.75,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,28.5,16.5,3,
1775800430,25265.25,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,31.5,16.5,3,
1775800435,25264.50,-1.8134,0.4813,-5.75,1,short,RIDE_AGAINST,3,36.0,16.5,3,
1775800440,25264.25,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,37.5,16.5,3,
1775800445,25265.25,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,31.5,16.5,3,
1775800450,25266.25,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,25.5,16.5,3,
1775800455,25264.50,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,36.0,16.5,3,
1775800460,25265.00,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,33.0,16.5,3,
1775800465,25264.00,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,39.0,16.5,3,
1775800470,25263.25,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,43.5,16.5,3,
1775800475,25263.25,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,43.5,16.5,3,
1775800480,25263.75,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,40.5,16.5,3,
1775800485,25263.00,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,45.0,16.5,3,
1775800490,25263.25,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,43.5,16.5,3,
1775800495,25264.75,-1.1644,0.5687,0.25,1,short,RIDE_AGAINST,4,34.5,16.5,3,
1775800500,25264.50,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,36.0,16.5,3,
1775800505,25264.50,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,36.0,16.5,3,
1775800510,25264.00,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,39.0,16.5,3,
1775800515,25263.75,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,40.5,16.5,3,
1775800520,25263.75,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,40.5,16.5,3,
1775800525,25264.50,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,36.0,16.5,3,
1775800530,25263.00,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,45.0,16.5,3,
1775800535,25262.75,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,46.5,16.5,3,
1775800540,25262.75,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,46.5,16.5,3,
1775800545,25261.50,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,54.0,18.0,3,
1775800550,25263.00,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,45.0,18.0,3,
1775800555,25263.50,-1.3934,0.6855,-2.00,1,short,RIDE_AGAINST,5,42.0,18.0,3,
1775800560,25262.50,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,48.0,18.0,3,
1775800565,25262.00,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,51.0,18.0,3,
1775800570,25260.50,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,60.0,20.0,3,
1775800575,25261.00,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,57.0,20.0,3,
1775800580,25262.25,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,49.5,20.0,3,
1775800585,25259.50,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,66.0,22.0,3,
