trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,entry_residual,day
20,11:06,1771931161,short,24846.25,24840.75,11.0,2,12.0,RM_PIVOT_TPSL,INVERSE,0,1.5734314918518066,2026_02_24
21,11:28,1771932481,short,24820.0,24816.0,8.0,6,8.0,RM_PIVOT_TPSL,INVERSE,0,1.6666210889816284,2026_02_24
22,11:45,1771933500,long,24818.25,24818.5,0.5,0,0.5,RM_PIVOT_TPSL,INVERSE,0,-1.503182291984558,2026_02_24
23,11:48,1771933680,short,24822.0,24816.5,11.0,2,12.5,RM_PIVOT_TPSL,INVERSE,0,2.3352184295654297,2026_02_24
24,12:14,1771935240,long,24882.75,24846.75,-72.0,13,0.5,RM_PIVOT_TPSL,INVERSE,0,-2.109790563583374,2026_02_24
25,12:30,1771936200,short,24839.75,24829.0,21.5,5,21.5,RM_PIVOT_TPSL,INVERSE,0,1.551308035850525,2026_02_24
26,12:44,1771937040,long,24810.5,24817.5,14.0,1,17.0,RM_PIVOT_TPSL,INVERSE,0,-2.3820157051086426,2026_02_24
27,12:47,1771937220,short,24801.5,24826.25,-49.5,26,10.0,RM_PIVOT_TPSL,INVERSE,0,2.0778424739837646,2026_02_24
28,13:16,1771938960,long,24828.5,24835.25,13.5,3,18.5,RM_PIVOT_TPSL,INVERSE,0,-1.6129417419433594,2026_02_24
29,13:22,1771939320,short,24831.5,24854.5,-46.0,11,4.5,RM_PIVOT_TPSL,INVERSE,0,1.7570337057113647,2026_02_24
30,13:46,1771940760,short,24871.5,24875.75,-8.5,5,2.5,RM_PIVOT_TPSL,INVERSE,0,2.066662073135376,2026_02_24
31,13:55,1771941300,long,24880.75,24861.75,-38.0,17,18.0,RM_PIVOT_TPSL,INVERSE,0,-1.5079325437545776,2026_02_24
32,14:53,1771944780,long,24931.5,24867.0,-129.0,10,3.0,RM_PIVOT_TPSL,INVERSE,0,-1.8437905311584473,2026_02_24
