pair,UP_SMOOTH,UP_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY
vol_accel_w__SE_low_w,-0.044006863433535305,0.005486772955735482,-0.009669914289862663,-0.016600288253290185,-0.019259358682690228,-0.008048644116644897
vol_accel_w__hurst_w,0.002739370758397294,-0.005808350896720111,-0.013046860644939925,0.008313921822628184,-0.0035927208081772536,0.004479509631999869
vol_accel_w__price_mean_w,-0.001417090777349872,-0.0025300021134879785,0.0010085210356297937,-0.0014724069274873507,0.001108744020993459,-4.7307144540951595e-05
vol_accel_w__price_sigma_w,-0.04576056521065016,-0.0019999289381494047,-0.0056859214997912215,-0.01755451254398237,-0.012900689831038321,-0.009455034390054141
vol_accel_w__reversion_prob_w,-0.17050442557109777,-0.18286739235923719,-0.13978009562241056,-0.18521856445069165,-0.16335095217116127,-0.18132087033146813
vol_accel_w__swing_noise_w,-0.009294716377888089,-0.01698799919456613,-0.00968540931254921,-0.025559750525162,-0.015301888138515284,-0.0060790319562445865
vol_accel_w__vol_mean_w,-0.0014633112099186369,-0.011687113997046042,0.006438589641387564,-0.013621416068826178,0.0033227961293356015,0.0020887387214721166
vol_accel_w__vol_sigma_w,-0.011647437188831756,-0.01074778398616757,-0.03894894000145478,-0.025020836693128976,-0.033641449343631204,-0.015234359040061356
vol_accel_w__vwap_w,-0.0015023964519096133,-0.0025788765574865456,0.0010766022053467132,-0.001580838426631161,0.0011549281571939262,-3.7624472807940556e-05
vol_accel_w__z_high_w,0.0701811467708368,0.05583576354869566,0.042974842975632824,0.021347474275431218,0.028664059329463105,0.040301254870796714
vol_accel_w__z_low_w,-0.047761661724579935,-0.06528574579015595,-0.08502594580666727,-0.0962147588564128,-0.09440080173474279,-0.08850946825883976
vol_accel_w__z_se_w,0.013612138550515384,-0.0168410792366454,-0.03330036450170492,-0.04092701755711607,-0.036221394933587565,-0.026787330729240475
vol_mean_w__SE_high_w,0.5609991500794372,0.6692176779163014,0.5960565759703441,0.7231296706775717,0.4471868799115097,0.6664465349213616
vol_mean_w__SE_low_w,0.6028444912175968,0.6876524168926993,0.5464019588977639,0.7082464797623104,0.46092373621061145,0.6700626898038469
vol_mean_w__hurst_w,0.03726766222382201,0.06135826240026006,0.10251762700659349,0.010045731314842269,-0.02991415277211912,0.04563802893398583
vol_mean_w__reversion_prob_w,-0.0034955579730695913,0.013186783107283755,0.008447416989150882,0.014902281204317617,0.0046724289577736566,0.00938470494847671
vol_mean_w__swing_noise_w,0.6154450784446341,0.7077456990853943,0.6882631602458609,0.7837356099172708,0.5558944609262035,0.7037953313534516
vol_mean_w__vol_sigma_w,0.8744987165975422,0.8430068822169628,0.8526689155521824,0.8566155595961972,0.8739392109930836,0.8501643086870151
vol_mean_w__vwap_w,-0.19356284885042244,-0.23541263787775682,-0.12417949196595124,-0.08011981982271763,-0.21707137596200532,-0.20239797682270463
vol_mean_w__z_high_w,-0.025185740447166483,-0.004369519658986329,0.01794934707793255,0.01629657704221342,-0.0007701426673180694,0.0025327103069013833
vol_mean_w__z_low_w,-0.010345648212534097,0.008006243605270703,0.02866532128188327,0.028259738615369415,0.015933985662446304,0.016644933998714605
vol_mean_w__z_se_w,-0.01140462820734134,0.0015528350380759086,0.020017149968353215,0.014669694838368979,0.009988172403716397,0.009191395708644457
vol_sigma_w__SE_high_w,0.5415432841670927,0.527097583011483,0.5667333840341175,0.662102566927091,0.43427420245540854,0.6236044939574972
vol_sigma_w__SE_low_w,0.5764730386606147,0.5446431963902792,0.5407119166087497,0.6920611917470458,0.4477643750148149,0.6311100081348707
vol_sigma_w__hurst_w,0.020200095661001748,0.039086505476947454,0.051941087136298886,-0.02396201148160175,-0.04616649817409658,0.03655850496407148
vol_sigma_w__reversion_prob_w,-0.03853226186788275,-0.011086165867093807,-0.006689061346508025,-0.015476039649021386,-0.00894177307178013,-0.017423962797251932
vol_sigma_w__swing_noise_w,0.529049581437365,0.5180614532132729,0.5872365807612796,0.6627878694115062,0.4966440538004951,0.6067983908641023
vol_sigma_w__vwap_w,-0.12942272756428805,-0.11833078250802777,-0.043182274720076,0.010974291065353085,-0.1478341222440836,-0.10917085201203336
vol_sigma_w__z_high_w,-0.015643059127699668,-0.01696015348511252,0.004066664219078626,0.009361197801159734,-0.00831964730899442,0.0009200874277534684
