ts,day,depth,pattern,micro_z,macro_z,gate,gate1_dist,gate3_conv,oracle_label,oracle_dir,oracle_pnl,template_id,tier,pattern_dna,trade_direction,trade_result,trade_pnl,exit_reason,exit_signal_reason,exit_conviction,exit_wave_maturity
1741032900,2025_03,4,ROCHE_SNAP,2.09,0.0,gate3,7.475,0.425,SCALP,LONG,380.0,0,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1741032900,2025_03,4,ROCHE_SNAP,2.09,0.0,gate3,7.475,0.428,SCALP,LONG,380.0,0,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1741032900,2025_03,4,ROCHE_SNAP,2.09,0.0,gate3,7.475,0.427,SCALP,LONG,380.0,0,3,L|1h:2|30m:0|15m:0,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.55,2.14,gate0_5,0.0,0.0,MEGA,LONG,132.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.55,2.14,gate0_5,0.0,0.0,MEGA,LONG,132.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.22,2.14,gate0_5,0.0,0.0,MEGA,LONG,140.0,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.22,2.14,gate0_5,0.0,0.0,MEGA,LONG,140.0,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.36,2.14,gate0_5,0.0,0.0,MEGA,LONG,164.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.36,2.14,gate0_5,0.0,0.0,MEGA,LONG,164.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.55,2.14,gate0_5,0.0,0.0,MEGA,LONG,132.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.55,2.14,gate0_5,0.0,0.0,MEGA,LONG,132.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.22,2.14,gate0_5,0.0,0.0,MEGA,LONG,140.0,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.22,2.14,gate0_5,0.0,0.0,MEGA,LONG,140.0,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.36,2.14,gate0_5,0.0,0.0,MEGA,LONG,164.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.36,2.14,gate0_5,0.0,0.0,MEGA,LONG,164.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.55,2.14,gate0_5,0.0,0.0,MEGA,LONG,132.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.55,2.14,gate0_5,0.0,0.0,MEGA,LONG,132.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.22,2.14,gate0_5,0.0,0.0,MEGA,LONG,140.0,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.22,2.14,gate0_5,0.0,0.0,MEGA,LONG,140.0,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.36,2.14,gate0_5,0.0,0.0,MEGA,LONG,164.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.36,2.14,gate0_5,0.0,0.0,MEGA,LONG,164.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.55,2.14,gate0_5,0.0,0.0,MEGA,LONG,132.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.55,2.14,gate0_5,0.0,0.0,MEGA,LONG,132.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.22,2.14,gate0_5,0.0,0.0,MEGA,LONG,140.0,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.22,2.14,gate0_5,0.0,0.0,MEGA,LONG,140.0,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,ROCHE_SNAP,2.36,2.14,gate0_5,0.0,0.0,MEGA,LONG,164.5,,,,,,0.0,,,0.0,0.0
1741033080,2025_03,10,STRUCTURAL_DRIVE,2.36,2.14,gate0_5,0.0,0.0,MEGA,LONG,164.5,,,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,ROCHE_SNAP,2.31,2.14,score_loser,1.498,0.0,MEGA,LONG,159.5,36,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,STRUCTURAL_DRIVE,2.31,2.14,score_loser,1.498,0.0,MEGA,LONG,159.5,36,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,ROCHE_SNAP,2.85,2.14,score_loser,1.791,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,STRUCTURAL_DRIVE,2.85,2.14,score_loser,1.791,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,ROCHE_SNAP,2.85,2.14,score_loser,1.252,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,STRUCTURAL_DRIVE,2.85,2.14,score_loser,1.252,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,STRUCTURAL_DRIVE,2.16,2.14,score_loser,1.329,0.0,MEGA,LONG,152.5,83,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,ROCHE_SNAP,2.16,2.14,gate3,12.329,0.407,MEGA,LONG,152.5,83,3,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,,,0.0,,,0.0,0.0
1741033200,2025_03,11,ROCHE_SNAP,2.31,2.14,score_loser,1.498,0.0,MEGA,LONG,159.5,36,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,STRUCTURAL_DRIVE,2.31,2.14,score_loser,1.498,0.0,MEGA,LONG,159.5,36,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,ROCHE_SNAP,2.85,2.14,score_loser,1.791,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,STRUCTURAL_DRIVE,2.85,2.14,score_loser,1.791,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,ROCHE_SNAP,2.85,2.14,score_loser,1.252,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,STRUCTURAL_DRIVE,2.85,2.14,score_loser,1.252,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,STRUCTURAL_DRIVE,2.16,2.14,score_loser,1.329,0.0,MEGA,LONG,152.5,83,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,ROCHE_SNAP,2.16,2.14,gate3,12.329,0.407,MEGA,LONG,152.5,83,3,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,,,0.0,,,0.0,0.0
1741033200,2025_03,11,ROCHE_SNAP,2.31,2.14,score_loser,1.498,0.0,MEGA,LONG,159.5,36,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,STRUCTURAL_DRIVE,2.31,2.14,score_loser,1.498,0.0,MEGA,LONG,159.5,36,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,ROCHE_SNAP,2.85,2.14,score_loser,1.791,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,STRUCTURAL_DRIVE,2.85,2.14,score_loser,1.791,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,ROCHE_SNAP,2.85,2.14,score_loser,1.252,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,STRUCTURAL_DRIVE,2.85,2.14,score_loser,1.252,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,STRUCTURAL_DRIVE,2.16,2.14,score_loser,1.329,0.0,MEGA,LONG,152.5,83,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,ROCHE_SNAP,2.16,2.14,gate3,12.329,0.423,MEGA,LONG,152.5,83,3,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,,,0.0,,,0.0,0.0
1741033200,2025_03,11,ROCHE_SNAP,2.31,2.14,score_loser,1.498,0.0,MEGA,LONG,159.5,36,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,STRUCTURAL_DRIVE,2.31,2.14,score_loser,1.498,0.0,MEGA,LONG,159.5,36,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,ROCHE_SNAP,2.85,2.14,score_loser,1.791,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,STRUCTURAL_DRIVE,2.85,2.14,score_loser,1.791,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,ROCHE_SNAP,2.85,2.14,score_loser,1.252,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,12,STRUCTURAL_DRIVE,2.85,2.14,score_loser,1.252,0.0,MEGA,LONG,182.0,249,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,STRUCTURAL_DRIVE,2.16,2.14,score_loser,1.329,0.0,MEGA,LONG,152.5,83,3,,,,0.0,,,0.0,0.0
1741033200,2025_03,11,ROCHE_SNAP,2.16,2.14,gate3,12.329,0.426,MEGA,LONG,152.5,83,3,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,,,0.0,,,0.0,0.0
1741034760,2025_03,7,ROCHE_SNAP,2.07,2.14,traded,9.323,0.502,MEGA,LONG,382.0,17,3,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,SHORT,LOSS,-24.5,structural_break,structure_break,0.46967570487994115,0.01251973395543904
1741035120,2025_03,7,ROCHE_SNAP,2.04,2.14,traded,10.211,0.487,MEGA,LONG,306.5,10,3,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,SHORT,LOSS,-22.5,trail_stop,aligned_fresh,0.4849904392395852,0.01251973395543904
