1m_z_se,1m_variance_ratio,1m_velocity,1m_p_at_center,1m_reversion_prob,1m_bar_range,1m_wick_ratio,5m_z_se,5m_velocity,5m_wick_ratio,15m_z_se,15m_velocity,1h_z_se,bars_held,pnl,actual_pnl,pattern
-0.882847249507904,0.6239569187164307,-9.75,0.5511853694915771,0.9713976979255676,64.0,0.40625,-2.55242657661438,-41.25,0.24770642817020416,-1.4231114387512207,-94.75,-2.173767328262329,144,227.0,129.0,BASE_NMP.0
0.6198901534080505,0.643168568611145,8.25,0.6636861562728882,0.9812954068183899,43.0,0.25581395626068115,1.7828441858291626,6.25,0.6904761791229248,1.029405951499939,8.75,-1.5379871129989624,91,98.5,-7.5,BASE_NMP.0
-1.721199631690979,0.7103934288024902,-0.25,0.19101598858833313,0.9115068912506104,12.0,0.9166666865348816,-0.9621852040290833,-4.25,0.6875,1.40903902053833,-9.75,-1.1795555353164673,15,31.5,-1.0,BASE_NMP.0
-2.6779561042785645,0.5680199861526489,-8.25,0.033701375126838684,0.53226637840271,52.0,0.36538460850715637,-1.2263461351394653,-14.5,0.3695652186870575,1.2369688749313354,-7.5,-1.1795555353164673,3,8.5,-1.0,BASE_NMP.0
-2.195887804031372,0.11784659326076508,-1.75,0.08379022777080536,0.8159641027450562,38.0,0.8157894611358643,-0.5331972241401672,-0.75,0.9433962106704712,1.4187827110290527,-12.75,-0.039849456399679184,5,18.0,3.5,BASE_NMP.0
1.5890182256698608,0.20579056441783905,0.5,0.235093355178833,0.9262402057647705,26.0,0.8846153616905212,0.6416453719139099,4.25,0.7790697813034058,1.33696711063385,4.75,1.903336763381958,265,755.0,-22.5,BASE_NMP.0
-0.8565369248390198,1.0244979858398438,13.75,0.5633899569511414,0.9724828600883484,116.0,0.5086206793785095,-2.5129034519195557,-44.75,0.26938775181770325,-2.8867812156677246,-77.5,-0.6954787969589233,103,768.0,198.5,BASE_NMP.0
-0.2349214106798172,0.4500015377998352,9.5,0.7685805559158325,0.9933006763458252,165.0,0.7939394116401672,-2.335902452468872,-75.0,0.08682634681463242,-2.9239065647125244,-120.5,-2.286632537841797,76,552.5,259.5,BASE_NMP.0
-0.9919467568397522,0.6913712024688721,4.0,0.4993419647216797,0.9666099548339844,81.0,0.790123462677002,0.16250133514404297,3.5,0.956204354763031,-0.12776832282543182,25.5,-1.1069881916046143,90,457.5,-12.5,BASE_NMP.0
-1.8764934539794922,0.6235501766204834,-3.0,0.14760170876979828,0.8892862796783447,84.0,0.8333333134651184,-0.3384460210800171,-12.75,0.6499999761581421,-1.256308913230896,-60.0,-0.3393844962120056,16,170.0,86.0,BASE_NMP.0
