day,pnl,n_trades,n_winners,n_losers,n_trail,n_pivot,n_eod,n_long,n_short,sum_mfe_usd,avg_leg_min,best_trade,worst_trade,pivot_pnl,trail_pnl,pivot_share,trail_share,long_share,is_loss_day,split,dow
2026_01_30,-727.0,47,26,21,26,21,0,28,19,2154.5,7.449645390070922,114.0,-112.5,-1539.0,812.0,0.44680851063829785,0.5531914893617021,0.5957446808510638,True,OOS,Friday
2026_02_02,231.0,41,23,16,26,15,0,22,19,2269.5,10.197560975609756,174.0,-102.0,-937.5,1168.5,0.36585365853658536,0.6341463414634146,0.5365853658536586,False,OOS,Monday
2026_02_03,-155.0,36,18,18,23,13,0,9,27,1721.0,10.284259259259258,120.0,-109.5,-860.5,705.5,0.3611111111111111,0.6388888888888888,0.25,True,OOS,Tuesday
2026_02_04,-372.0,49,24,25,32,17,0,16,33,2909.5,9.426190476190476,189.5,-132.0,-1348.0,976.0,0.3469387755102041,0.6530612244897959,0.32653061224489793,True,OOS,Wednesday
2026_02_05,218.0,72,41,31,48,24,0,30,42,5027.0,6.705555555555556,354.0,-106.0,-1875.5,2093.5,0.3333333333333333,0.6666666666666666,0.4166666666666667,False,OOS,Thursday
2026_02_06,286.5,56,36,20,42,14,0,28,28,3323.0,8.266369047619047,339.0,-139.5,-1006.5,1293.0,0.25,0.75,0.5,False,OOS,Friday
2026_02_09,-424.0,35,19,16,21,14,0,19,16,1421.5,12.897142857142857,111.0,-158.0,-1074.5,650.5,0.4,0.6,0.5428571428571428,True,OOS,Monday
2026_02_10,-411.0,35,17,18,22,13,0,17,18,1395.0,14.268571428571429,145.5,-106.5,-957.0,546.0,0.37142857142857144,0.6285714285714286,0.4857142857142857,True,OOS,Tuesday
2026_02_11,-259.0,38,22,16,23,15,0,21,17,1815.5,11.14298245614035,132.5,-119.0,-1117.5,858.5,0.39473684210526316,0.6052631578947368,0.5526315789473685,True,OOS,Wednesday
2026_02_12,-43.0,31,18,13,19,12,0,7,24,1552.0,13.145698924731182,229.0,-96.5,-843.5,800.5,0.3870967741935484,0.6129032258064516,0.22580645161290322,True,OOS,Thursday
2026_02_13,-688.5,79,39,40,49,30,0,43,36,4212.0,7.641350210970463,187.0,-218.5,-2292.5,1604.0,0.379746835443038,0.620253164556962,0.5443037974683544,True,OOS,Friday
2026_02_16,-6.0,15,8,7,9,5,1,5,10,593.0,39.31666666666667,126.0,-74.0,-280.5,325.5,0.3333333333333333,0.6,0.3333333333333333,True,OOS,Monday
2026_02_17,162.0,54,32,22,39,15,0,31,23,3176.0,7.001543209876543,168.0,-176.5,-1216.0,1378.0,0.2777777777777778,0.7222222222222222,0.5740740740740741,False,OOS,Tuesday
2026_02_18,196.5,25,14,11,15,10,0,10,15,1406.0,17.421333333333333,324.5,-70.5,-594.0,790.5,0.4,0.6,0.4,False,OOS,Wednesday
2026_02_19,-53.5,45,29,16,33,12,0,25,20,2184.0,10.649999999999999,99.5,-92.0,-821.5,768.0,0.26666666666666666,0.7333333333333333,0.5555555555555556,True,OOS,Thursday
2026_02_20,123.5,37,24,13,25,12,0,15,22,2219.0,11.902252252252252,180.0,-131.5,-991.0,1114.5,0.32432432432432434,0.6756756756756757,0.40540540540540543,False,OOS,Friday
2026_02_23,-173.5,24,14,10,15,9,0,13,11,1082.0,18.817361111111108,110.0,-189.0,-671.0,497.5,0.375,0.625,0.5416666666666666,True,OOS,Monday
2026_02_24,655.0,29,19,10,22,7,0,15,14,1907.5,15.707471264367815,245.0,-72.0,-404.5,1059.5,0.2413793103448276,0.7586206896551724,0.5172413793103449,False,OOS,Tuesday
2026_02_25,-117.0,11,6,5,8,3,0,7,4,359.5,22.528787878787877,39.0,-144.0,-269.5,152.5,0.2727272727272727,0.7272727272727273,0.6363636363636364,True,OOS,Wednesday
