**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

close_time_utc,day,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,qty,pnl_points,pnl_usd,held_minutes,entry_reason,exit_reason
2026-04-25T20:19:06.7363679Z,2026-03-17,2026-03-17 17:54:00,2026-03-17 18:25:00,long,25033.7500,25019.0000,0,-14.7500,0.00,31.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7363679Z,2026-03-17,2026-03-17 18:25:00,2026-03-17 19:17:00,short,25019.0000,25023.5000,0,-4.5000,0.00,52.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7373859Z,2026-03-17,2026-03-17 19:17:00,2026-03-17 20:56:00,long,25023.5000,25023.2500,0,-0.2500,0.00,99.00,FlipExitShort,EodExitLong
2026-04-25T20:19:06.7373859Z,2026-03-17,2026-03-17 20:56:00,2026-03-18 09:45:00,short,25023.2500,25189.2500,0,-166.0000,0.00,769.00,EodExitLong,FlipExitShort
2026-04-25T20:19:06.7383916Z,2026-03-18,2026-03-18 09:45:00,2026-03-18 10:56:00,long,25189.2500,25166.0000,0,-23.2500,0.00,71.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7383916Z,2026-03-18,2026-03-18 10:56:00,2026-03-18 11:42:00,short,25166.0000,25133.5000,0,32.5000,0.00,46.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7383916Z,2026-03-18,2026-03-18 11:42:00,2026-03-18 12:00:00,long,25133.5000,25112.7500,0,-20.7500,0.00,18.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7394901Z,2026-03-18,2026-03-18 12:00:00,2026-03-18 12:41:00,short,25112.7500,24985.2500,0,127.5000,0.00,41.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7394901Z,2026-03-18,2026-03-18 12:41:00,2026-03-18 12:44:00,long,24985.2500,24935.5000,0,-49.7500,0.00,3.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7394901Z,2026-03-18,2026-03-18 12:44:00,2026-03-18 13:09:00,short,24935.5000,24905.5000,0,30.0000,0.00,25.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7405050Z,2026-03-18,2026-03-18 13:09:00,2026-03-18 13:45:00,long,24905.5000,24944.5000,0,39.0000,0.00,36.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7405050Z,2026-03-18,2026-03-18 13:45:00,2026-03-18 13:48:00,short,24944.5000,24996.7500,0,-52.2500,0.00,3.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7415744Z,2026-03-18,2026-03-18 13:48:00,2026-03-18 13:50:00,long,24996.7500,24964.7500,0,-32.0000,0.00,2.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7415744Z,2026-03-18,2026-03-18 13:50:00,2026-03-18 14:01:00,short,24964.7500,24969.5000,0,-4.7500,0.00,11.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7415744Z,2026-03-18,2026-03-18 14:01:00,2026-03-18 14:04:00,long,24969.5000,24925.7500,0,-43.7500,0.00,3.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7425841Z,2026-03-18,2026-03-18 14:04:00,2026-03-18 14:08:00,short,24925.7500,24955.5000,0,-29.7500,0.00,4.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7425841Z,2026-03-18,2026-03-18 14:08:00,2026-03-18 14:12:00,long,24955.5000,24942.2500,0,-13.2500,0.00,4.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7425841Z,2026-03-18,2026-03-18 14:12:00,2026-03-18 14:34:00,short,24942.2500,24851.5000,0,90.7500,0.00,22.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7436268Z,2026-03-18,2026-03-18 14:34:00,2026-03-18 14:45:00,long,24851.5000,24828.5000,0,-23.0000,0.00,11.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7436268Z,2026-03-18,2026-03-18 14:45:00,2026-03-18 14:59:00,short,24828.5000,24859.2500,0,-30.7500,0.00,14.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7446857Z,2026-03-18,2026-03-18 14:59:00,2026-03-18 15:04:00,long,24859.2500,24875.5000,0,16.2500,0.00,5.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7446857Z,2026-03-18,2026-03-18 15:04:00,2026-03-18 15:08:00,short,24875.5000,24924.5000,0,-49.0000,0.00,4.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7446857Z,2026-03-18,2026-03-18 15:08:00,2026-03-18 15:20:00,long,24924.5000,24884.7500,0,-39.7500,0.00,12.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7457392Z,2026-03-18,2026-03-18 15:20:00,2026-03-18 15:29:00,short,24884.7500,24900.0000,0,-15.2500,0.00,9.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7457392Z,2026-03-18,2026-03-18 15:29:00,2026-03-18 15:43:00,long,24900.0000,24885.2500,0,-14.7500,0.00,14.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7457392Z,2026-03-18,2026-03-18 15:43:00,2026-03-18 15:56:00,short,24885.2500,24912.0000,0,-26.7500,0.00,13.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7467483Z,2026-03-18,2026-03-18 15:56:00,2026-03-18 16:02:00,long,24912.0000,24879.2500,0,-32.7500,0.00,6.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7467483Z,2026-03-18,2026-03-18 16:02:00,2026-03-18 16:15:00,short,24879.2500,24906.5000,0,-27.2500,0.00,13.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7477889Z,2026-03-18,2026-03-18 16:15:00,2026-03-18 16:35:00,long,24906.5000,24870.2500,0,-36.2500,0.00,20.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7477889Z,2026-03-18,2026-03-18 16:35:00,2026-03-18 16:54:00,short,24870.2500,24862.0000,0,8.2500,0.00,19.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7477889Z,2026-03-18,2026-03-18 16:54:00,2026-03-18 17:01:00,long,24862.0000,24844.5000,0,-17.5000,0.00,7.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7488059Z,2026-03-18,2026-03-18 17:01:00,2026-03-18 17:26:00,short,24844.5000,24832.0000,0,12.5000,0.00,25.00,FlipExitLong,FlipExitShort
