tf,c1,c2,regime_2d,n,pearson,p_q4q4,p_q0q0,p_q4q0,p_q0q4,upper_lift,lower_lift,tail_asymmetry,joint_extreme,cross_extreme,abs_asym
5m,vol_velocity_1b,bar_range,FLAT_SMOOTH,9892,0.28865451306137574,0.10301253538212697,0.014961585119288313,0.00151637687019814,0.05974524868580671,2.575313384553174,0.3740396279822078,2.2012737565709664,2.949353012535382,1.5315406389001214,2.2012737565709664
5s,bar_range,vol_velocity_w,DOWN_CHOPPY,2988,0.22823350464159023,0.10174029451137885,0.013721552878179385,0.06693440428380187,0.0,2.5435073627844713,0.3430388219544846,2.200468540829987,2.8865461847389557,1.6733601070950468,2.200468540829987
5m,bar_range,vol_velocity_w,UP_SMOOTH,7146,0.32990202668199614,0.10523369717324377,0.017352364959417856,0.05429610971172684,0.0006996921354603975,2.630842429331094,0.4338091239854464,2.1970333053456477,3.0646515533165406,1.374895046179681,2.1970333053456477
1m,vol_velocity_1b,bar_range,UP_SMOOTH,7146,0.2001827648514337,0.09711726840190316,0.009235936188077247,0.0015393226980128744,0.061013154212146654,2.427931710047579,0.23089840470193115,2.1970333053456477,2.6588301147495104,1.5638119227539882,2.1970333053456477
1m,vol_accel_1b,bar_range,DOWN_CHOPPY,2988,0.15883629339479727,0.10274431057563588,0.015060240963855422,0.001004016064257028,0.05622489959839357,2.568607764390897,0.3765060240963855,2.1921017402945115,2.9451137884872822,1.430722891566265,2.1921017402945115
5m,bar_range,vol_velocity_w,DOWN_CHOPPY,2988,0.3692918897262818,0.10542168674698796,0.017737617135207495,0.05254350736278447,0.00033467202141900936,2.6355421686746987,0.4434404283801874,2.192101740294511,3.0789825970548863,1.321954484605087,2.192101740294511
1m,bar_range,vol_velocity_w,UP_SMOOTH,7146,0.2604988430103971,0.10257486705849427,0.014973411698852504,0.05723481668066051,0.0008396305625524769,2.5643716764623568,0.3743352924713126,2.1900363839910444,2.938706968933669,1.4518611810803246,2.1900363839910444
15m,bar_range,vol_velocity_w,UP_CHOPPY,3924,0.41086807600211517,0.12385321100917432,0.03644240570846075,0.03644240570846075,0.0,3.096330275229358,0.9110601427115188,2.1852701325178394,4.007390417940877,0.9110601427115188,2.1852701325178394
15m,vol_velocity_w,SE_low_w,DOWN_CHOPPY,2988,0.1329093518952726,0.0963855421686747,0.009036144578313253,0.0050200803212851405,0.06559571619812583,2.4096385542168677,0.2259036144578313,2.183734939759036,2.635542168674699,1.7653949129852744,2.183734939759036
1h,vol_velocity_1b,vol_velocity_w,UP_SMOOTH,7146,0.21740673878145345,0.09403862300587741,0.006717044500419815,0.0218303946263644,0.0873215785054576,2.3509655751469354,0.16792611251049538,2.18303946263644,2.5188916876574305,2.7287993282955503,2.18303946263644
1h,vol_accel_1b,bar_range,UP_SMOOTH,7146,0.16127579984374377,0.09907640638119228,0.011754827875734676,0.005037783375314861,0.06717044500419815,2.476910159529807,0.2938706968933669,2.1830394626364398,2.770780856423174,1.8052057094878253,2.1830394626364398
1m,vol_accel_1b,vol_sigma_w,UP_SMOOTH,7146,0.03845386363171278,0.09431849986006158,0.007136859781696054,0.0006996921354603975,0.06912958298348726,2.3579624965015396,0.17842149454240133,2.179541001959138,2.536383991043941,1.7457318779736914,2.179541001959138
1h,price_accel_1b,bar_range,UP_SMOOTH,7146,0.33036479109490924,0.09557794570389029,0.008396305625524769,0.006717044500419815,0.060453400503778336,2.3894486425972574,0.20990764063811923,2.179541001959138,2.5993562832353767,1.6792611251049538,2.179541001959138
5s,price_velocity_w,price_sigma_w,UP_CHOPPY,3924,-0.39911805122188065,0.08970438328236494,0.0025484199796126403,0.0022935779816513763,0.08307849133537207,2.2426095820591234,0.063710499490316,2.1788990825688073,2.3063200815494396,2.1343017329255862,2.1788990825688073
5s,bar_range,price_accel_w,FLAT_SMOOTH,9893,0.006346942351305063,0.08713231577883351,0.0,0.08066309511776003,0.0,2.1783078944708376,0.0,2.1783078944708376,2.1783078944708376,2.016577377944001,2.1783078944708376
5s,vol_accel_w,vol_mean_w,DOWN_SMOOTH,4662,0.6101560748635291,0.0945945945945946,0.0075075075075075074,0.00429000429000429,0.074002574002574,2.364864864864865,0.18768768768768768,2.1771771771771773,2.5525525525525525,1.9573144573144572,2.1771771771771773
1h,bar_range,price_accel_w,UP_SMOOTH,7146,0.5829519937362222,0.11908760145535964,0.03218583823117828,0.033585222502099076,0.0033585222502099076,2.977190036383991,0.804645955779457,2.172544080604534,3.7818359921634483,0.9235936188077246,2.172544080604534
1h,bar_range,body,FLAT_CHOPPY,18315,-0.17737631057008618,0.08654108654108654,0.0,0.0891072891072891,0.0,2.1635271635271636,0.0,2.1635271635271636,2.1635271635271636,2.2276822276822275,2.1635271635271636
1m,vol_accel_1b,vol_sigma_w,FLAT_CHOPPY,18315,0.06725669084696916,0.09271089271089271,0.00616980616980617,0.0009828009828009828,0.07338247338247338,2.3177723177723175,0.15424515424515425,2.163527163527163,2.472017472017472,1.859131859131859,2.163527163527163
5s,vol_accel_1b,vol_mean_w,UP_SMOOTH,7146,0.5810069804439761,0.09082003918275959,0.004338091239854464,0.000559753708368318,0.07612650433809123,2.2705009795689897,0.1084522809963616,2.162048698572628,2.378953260565351,1.9171564511614887,2.162048698572628
15m,z_low_w,reversion_prob_w,FLAT_SMOOTH,9858,0.16645620341184597,0.010549807263136538,0.09697707445729357,0.06542909312233719,0.008825319537431528,0.2637451815784134,2.424426861432339,-2.160681679853926,2.6881720430107525,1.856360316494218,2.160681679853926
5m,price_velocity_1b,bar_range,FLAT_CHOPPY,18315,-0.06629603808084003,0.08637728637728638,0.0,0.0001092001092001092,0.08916188916188916,2.1594321594321593,0.0,2.1594321594321593,2.1594321594321593,2.2317772317772318,2.1594321594321593
5s,bar_range,vol_accel_w,DOWN_CHOPPY,2988,0.24531711054071592,0.10140562248995984,0.015060240963855422,0.05923694779116466,0.004350736278447122,2.535140562248996,0.3765060240963855,2.1586345381526106,2.9116465863453813,1.5896921017402945,2.1586345381526106
15m,bar_range,vol_velocity_w,DOWN_CHOPPY,2988,0.448060718415057,0.11646586345381527,0.030120481927710843,0.04417670682730924,0.0,2.9116465863453818,0.753012048192771,2.1586345381526106,3.664658634538153,1.104417670682731,2.1586345381526106
1m,bar_range,body,FLAT_CHOPPY,18315,-0.045757302408271,0.08626808626808627,0.0,0.08506688506688506,0.0,2.1567021567021567,0.0,2.1567021567021567,2.1567021567021567,2.1266721266721267,2.1567021567021567
5s,bar_range,body,DOWN_SMOOTH,4662,-0.1625954767715757,0.08622908622908623,0.0,0.09223509223509224,0.0,2.155727155727156,0.0,2.155727155727156,2.155727155727156,2.305877305877306,2.155727155727156
5m,bar_range,body,FLAT_CHOPPY,18315,-0.06387456530142879,0.0862134862134862,0.0,0.0891072891072891,0.0,2.155337155337155,0.0,2.155337155337155,2.155337155337155,2.2276822276822275,2.155337155337155
5m,vol_accel_1b,bar_range,FLAT_SMOOTH,9890,0.14150060199272532,0.1012133468149646,0.01506572295247725,0.002325581395348837,0.059453993933265926,2.530333670374115,0.37664307381193124,2.1536905965621838,2.9069767441860463,1.5444893832153692,2.1536905965621838
1m,vol_accel_1b,bar_range,FLAT_SMOOTH,9893,0.1223022734908938,0.09976751238249267,0.013646012331951885,0.002324876175073284,0.06125543313453957,2.4941878095623164,0.3411503082987971,2.1530375012635194,2.8353381178611134,1.5895077327403215,2.1530375012635194
5m,bar_range,vol_velocity_w,FLAT_SMOOTH,9884,0.34127022406196617,0.1093686766491299,0.023269931201942533,0.05412788344799676,0.000708215297450425,2.7342169162282475,0.5817482800485633,2.1524686361796843,3.3159651962768106,1.3709024686361795,2.1524686361796843
1m,vol_accel_1b,bar_range,UP_SMOOTH,7146,0.08673342430189687,0.09781696053736356,0.011754827875734676,0.002239014833473272,0.05583543240973971,2.445424013434089,0.2938706968933669,2.151553316540722,2.739294710327456,1.4518611810803246,2.151553316540722
