date,open,close,high,low,n_bars,first_dt,last_dt,close_diff_sum,range,net_move,directional_strength,efficiency_ratio,atr_20d,range_expansion,regime,direction_axis,variation_axis,regime_2d,split
2025-08-22,23138.5,23582.75,23650.0,23134.0,840,2025-08-22 07:00:00+00:00,2025-08-22 20:59:00+00:00,4027.25,516.0,444.25,0.8609496124031008,0.110311006269787,312.7625,1.6498141561088686,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-08-24,23600.0,23522.25,23610.0,23518.5,540,2025-08-24 22:00:00+00:00,2025-08-25 06:59:00+00:00,975.0,91.5,-77.75,0.8497267759562842,0.0797435897435897,286.5125,0.3193577941625584,QUIET,DOWN,SMOOTH,DOWN_SMOOTH,IS
2025-08-25,23521.75,23454.0,23616.75,23371.25,1380,2025-08-25 07:00:00+00:00,2025-08-26 06:59:00+00:00,4078.75,245.5,-67.75,0.2759674134419552,0.0166104811523138,274.2625,0.895127842851283,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-08-26,23454.0,23603.25,23629.0,23415.25,1380,2025-08-26 07:00:00+00:00,2025-08-27 06:59:00+00:00,3446.25,213.75,149.25,0.6982456140350877,0.0433079434167573,275.9875,0.7744915983513746,TRANSITIONAL,UP,CHOPPY,UP_CHOPPY,IS
2025-08-27,23603.0,23606.25,23685.0,23429.0,1380,2025-08-27 07:00:00+00:00,2025-08-28 06:59:00+00:00,4046.75,256.0,3.25,0.0126953125,0.0008031136096867,268.0125,0.9551793293223264,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-08-28,23606.0,23717.25,23803.75,23572.5,1380,2025-08-28 07:00:00+00:00,2025-08-29 06:59:00+00:00,4049.75,231.25,111.25,0.4810810810810811,0.0274708315328106,261.625,0.8838987099856666,TRANSITIONAL,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-08-29,23717.25,23454.5,23737.0,23401.5,840,2025-08-29 07:00:00+00:00,2025-08-29 20:59:00+00:00,3753.5,335.5,-262.75,0.7831594634873323,0.0700013320900492,258.225,1.2992545260915866,DOWN,DOWN,SMOOTH,DOWN_SMOOTH,IS
2025-08-31,23478.5,23449.0,23555.25,23371.5,540,2025-08-31 22:00:00+00:00,2025-09-01 06:59:00+00:00,1353.25,183.75,-29.5,0.1605442176870748,0.021799371882505,250.35,0.7339724385859796,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-09-01,23449.5,23447.5,23511.0,23404.75,1140,2025-09-01 07:00:00+00:00,2025-09-02 06:59:00+00:00,2388.25,106.25,-2.0,0.0188235294117647,0.0008374332670365,243.0375,0.437175333024739,QUIET,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-09-02,23447.25,23345.5,23452.25,23025.0,1380,2025-09-02 07:00:00+00:00,2025-09-03 06:59:00+00:00,6085.75,427.25,-101.75,0.238150965476887,0.0167193854496159,260.7875,1.638307050759718,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-09-03,23345.75,23454.25,23532.5,23318.25,1380,2025-09-03 07:00:00+00:00,2025-09-04 06:59:00+00:00,5041.0,214.25,108.5,0.5064177362893816,0.0215235072406268,260.625,0.822062350119904,TRANSITIONAL,UP,CHOPPY,UP_CHOPPY,IS
2025-09-04,23453.75,23772.5,23788.0,23410.0,1380,2025-09-04 07:00:00+00:00,2025-09-05 06:59:00+00:00,3949.75,378.0,318.75,0.8432539682539683,0.0807013102095069,261.2875,1.4466822944075013,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-09-05,23772.25,23673.0,23902.5,23505.0,840,2025-09-05 07:00:00+00:00,2025-09-05 20:59:00+00:00,4717.25,397.5,-99.25,0.2496855345911949,0.0210398007313583,272.0125,1.461329902118469,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-09-07,23676.5,23752.5,23792.0,23650.5,540,2025-09-07 22:00:00+00:00,2025-09-08 06:59:00+00:00,1149.25,141.5,76.0,0.5371024734982333,0.0661300848379377,268.475,0.527050935841326,TRANSITIONAL,UP,SMOOTH,UP_SMOOTH,IS
2025-09-08,23752.5,23850.0,23888.0,23740.75,1380,2025-09-08 07:00:00+00:00,2025-09-09 06:59:00+00:00,3605.5,147.25,97.5,0.6621392190152802,0.0270420191374289,264.4375,0.5568423540534153,TRANSITIONAL,UP,SMOOTH,UP_SMOOTH,IS
2025-09-09,23850.5,23943.75,23948.25,23726.5,1380,2025-09-09 07:00:00+00:00,2025-09-10 06:59:00+00:00,3530.25,221.75,93.25,0.4205186020293123,0.0264145598753629,270.05,0.8211442325495278,TRANSITIONAL,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-09-10,23943.75,23917.75,24041.0,23785.0,1380,2025-09-10 07:00:00+00:00,2025-09-11 06:59:00+00:00,4100.5,256.0,-26.0,0.1015625,0.0063406901597366,276.8,0.9248554913294798,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
