day,trades,pnl,wr
2025_10_07,56,407.5,23.214285714285715
2025_10_08,33,414.5,45.45454545454545
2025_10_09,42,715.0,54.761904761904766
2025_10_10,53,601.0,24.528301886792452
2025_10_12,3,142.0,33.33333333333333
2025_10_13,45,856.5,51.11111111111111
2025_10_14,43,1166.0,48.837209302325576
2025_10_15,47,1127.0,48.93617021276596
2025_10_16,50,678.0,40.0
2025_10_17,35,1035.0,45.714285714285715
2025_10_19,4,75.5,25.0
2025_10_20,41,544.5,36.58536585365854
2025_10_21,36,279.5,33.33333333333333
2025_10_22,55,1210.5,41.81818181818181
2025_10_23,47,565.0,36.17021276595745
2025_10_24,50,374.0,28.000000000000004
2025_10_26,5,6.0,40.0
2025_10_27,35,574.0,68.57142857142857
2025_10_28,36,338.5,47.22222222222222
2025_10_29,40,568.5,55.00000000000001
2025_10_30,54,1893.0,48.148148148148145
2025_10_31,45,1095.0,46.666666666666664
2025_11_02,2,14.5,50.0
2025_11_03,36,832.0,47.22222222222222
2025_11_04,45,1468.5,46.666666666666664
2025_11_05,45,1282.0,42.22222222222222
2025_11_06,51,987.5,33.33333333333333
2025_11_07,47,1867.5,55.319148936170215
2025_11_09,1,36.5,100.0
2025_11_10,52,691.0,44.230769230769226
2025_11_11,52,188.5,28.846153846153843
2025_11_12,50,744.0,34.0
2025_11_13,53,1489.0,41.509433962264154
2025_11_14,45,2057.5,51.11111111111111
2025_11_16,2,-32.5,50.0
2025_11_17,57,1061.0,43.859649122807014
2025_11_18,53,876.5,35.84905660377358
2025_11_19,49,810.5,30.612244897959183
2025_11_20,57,1370.0,33.33333333333333
2025_11_21,45,1064.0,37.77777777777778
2025_11_23,1,-23.0,0.0
2025_11_24,54,779.0,40.74074074074074
2025_11_25,46,736.5,41.30434782608695
2025_11_26,44,192.5,36.36363636363637
2025_11_27,23,115.5,30.434782608695656
2025_11_28,11,191.5,54.54545454545454
2025_11_30,1,96.0,100.0
2025_12_01,46,858.0,43.47826086956522
2025_12_02,52,601.0,34.61538461538461
2025_12_03,44,394.0,29.545454545454547
2025_12_04,40,1084.0,50.0
2025_12_05,49,985.0,40.816326530612244
2025_12_07,1,3.5,100.0
2025_12_08,42,611.5,47.61904761904761
2025_12_09,32,193.0,40.625
2025_12_10,52,229.5,30.76923076923077
2025_12_11,55,831.5,40.0
2025_12_12,46,395.5,26.08695652173913
2025_12_14,1,-6.0,0.0
2025_12_15,43,954.0,39.53488372093023
2025_12_16,33,721.5,39.39393939393939
2025_12_17,39,376.0,28.205128205128204
2025_12_18,23,1066.0,52.17391304347826
2025_12_19,6,114.5,33.33333333333333
