trade_id,time,timestamp,dir,entry_price,exit_price,pnl,exit,held,peak,entry_z,entry_vr,entry_dmi,entry_vol,entry_hurst,exit_z,exit_vr,exit_dmi,exit_z_5m,exit_z_15m,exit_z_1h,exit_dmi_1h,approach_length,path_length,regret_peak_pnl,regret_peak_bar,regret_breakeven_bar,regret_peak_time_min,regret_lifespan_min,day
1,05:15,1768886100.0,short,25382.0,25379.75,4.5,opposite_extreme,118,4.5,2.0107531547546387,0.48980414867401123,-17.45490264892578,1.5092213153839111,0.6760907769203186,-1.3027228116989136,0.34772881865501404,-15.117264747619629,1.1234098672866821,-0.07009027898311615,-0.09981687366962433,-12.739502906799316,10,119,11.5,19,29,1.5833333333333333,2.4166666666666665,2026_01_20
0,01:41,1768959660.0,long,25207.0,25213.5,13.0,opposite_extreme,126,13.0,-2.017775058746338,0.1895061433315277,11.160338401794434,0.9987726211547852,0.6654345989227295,1.0585500001907349,0.20889559388160706,9.073996543884277,-1.6794003248214722,1.2476613521575928,0.401467889547348,-10.926919937133789,10,127,22.5,21,159,1.75,13.25,2026_01_21
1,15:16,1769008560.0,long,25313.25,25366.75,107.0,opposite_extreme,132,107.0,-2.313241720199585,0.1938043087720871,14.182735443115234,0.8055833578109741,0.7691822648048401,2.5919458866119385,0.2554645240306854,19.34488296508789,0.008385209366679192,1.7597086429595947,2.881843328475952,17.381860733032227,10,133,360.0,679,1034,56.583333333333336,86.16666666666667,2026_01_21
0,03:23,1769052180.0,long,25575.25,25590.0,29.5,opposite_extreme,67,29.5,-2.097407817840576,0.6492115259170532,-6.954533576965332,1.1699163913726807,0.9628654718399048,1.065485954284668,0.49327924847602844,9.624046325683594,1.7057560682296753,-0.7934232354164124,-0.19630713760852814,21.554153442382812,10,68,32.5,13,423,1.0833333333333333,35.25,2026_01_22
1,13:17,1769087820.0,long,25685.75,25698.25,25.0,opposite_extreme,84,25.0,-2.0851094722747803,0.7256135940551758,-3.879441976547241,1.352879524230957,0.8154436349868774,1.1179800033569336,0.7307255268096924,5.374878883361816,1.4053367376327515,1.0608404874801636,-0.12723574042320251,23.178699493408203,10,85,50.5,162,177,13.5,14.75,2026_01_22
0,10:11,1769163060.0,short,25559.0,25558.0,2.0,opposite_extreme,273,17.0,2.5701143741607666,0.544654130935669,-20.6971378326416,1.814876914024353,0.8713610768318176,-1.9489641189575195,0.16416588425636292,-7.997451305389404,-0.3159474730491638,-0.6722590923309326,-1.332086443901062,-9.109339714050293,10,274,8.0,7,13,0.5833333333333334,1.0833333333333333,2026_01_23
0,01:09,1769389740.0,short,25590.5,25611.25,-41.5,opposite_extreme,164,38.5,2.506606101989746,0.5134142637252808,5.067116737365723,2.0713882446289062,0.7954096794128418,-1.153956413269043,1.1728333234786987,8.025458335876465,-0.10462384670972824,1.2983850240707397,-0.2589071989059448,-10.572593688964844,10,165,6.0,5392,5402,449.3333333333333,450.1666666666667,2026_01_26
1,01:58,1769392680.0,short,25666.25,25654.75,23.0,opposite_extreme,60,23.0,2.87919020652771,0.24935945868492126,18.565248489379883,2.555575370788574,0.6370432376861572,-1.5253751277923584,0.30402594804763794,12.15434455871582,-0.5552010536193848,1.2385514974594116,-0.2589071989059448,-10.572593688964844,10,61,133.5,560,2096,46.666666666666664,174.66666666666666,2026_01_26
2,06:59,1769410740.0,short,25678.25,25669.0,18.5,opposite_extreme,114,18.5,2.8653957843780518,0.32045304775238037,2.804283618927002,1.7977315187454224,0.6864272952079773,-1.7376973628997803,0.857646107673645,-12.375802040100098,-1.5845986604690552,-0.1740611046552658,0.019416384398937225,-4.403656959533691,10,115,25.0,6,41,0.5,3.4166666666666665,2026_01_26
0,09:05,1769504700.0,long,25973.0,25989.5,33.0,opposite_extreme,35,33.0,-2.782989501953125,0.35979989171028137,-3.8320505619049072,3.2834994792938232,0.6934930682182312,1.5931519269943237,0.5179696083068848,7.9023308753967285,1.8207777738571167,-0.9554051756858826,-1.1721267700195312,12.712804794311523,10,36,41.5,122,505,10.166666666666666,42.083333333333336,2026_01_27
