ts,day,depth,pattern,micro_z,macro_z,gate,gate1_dist,gate3_conv,oracle_label,oracle_dir,oracle_pnl,template_id,tier,pattern_dna,trade_direction,trade_result,trade_pnl,exit_reason,exit_signal_reason,exit_conviction,exit_wave_maturity
1738645560,2025_02,9,STRUCTURAL_DRIVE,2.61,2.0,gate0_r4_struct,0.0,0.0,MEGA,LONG,101.0,,,,,,0.0,,,0.0,0.0
1738645560,2025_02,12,ROCHE_SNAP,2.11,2.0,score_loser,1.598,0.0,MEGA,SHORT,333.5,16,2,,,,0.0,,,0.0,0.0
1738645560,2025_02,12,ROCHE_SNAP,2.11,2.0,score_loser,1.85,0.0,MEGA,SHORT,333.5,16,2,,,,0.0,,,0.0,0.0
1738645560,2025_02,11,ROCHE_SNAP,2.45,2.0,score_loser,1.978,0.0,MEGA,SHORT,123.5,34,2,,,,0.0,,,0.0,0.0
1738645560,2025_02,11,ROCHE_SNAP,2.07,2.0,score_loser,1.91,0.0,MEGA,SHORT,134.5,34,2,,,,0.0,,,0.0,0.0
1738645560,2025_02,11,ROCHE_SNAP,2.47,2.0,score_loser,2.327,0.0,MEGA,SHORT,195.5,35,4,,,,0.0,,,0.0,0.0
1738645560,2025_02,12,ROCHE_SNAP,2.27,2.0,score_loser,2.048,0.0,MEGA,SHORT,424.5,24,2,,,,0.0,,,0.0,0.0
1738645560,2025_02,12,ROCHE_SNAP,2.27,2.0,score_loser,2.057,0.0,MEGA,SHORT,424.5,24,2,,,,0.0,,,0.0,0.0
1738645560,2025_02,12,ROCHE_SNAP,2.35,2.0,score_loser,2.38,0.0,MEGA,LONG,459.5,16,2,,,,0.0,,,0.0,0.0
1738645560,2025_02,12,ROCHE_SNAP,2.35,2.0,score_loser,2.307,0.0,MEGA,LONG,459.5,20,3,,,,0.0,,,0.0,0.0
1738645560,2025_02,9,ROCHE_SNAP,2.61,2.0,score_loser,1.244,0.0,MEGA,LONG,101.0,17,4,,,,0.0,,,0.0,0.0
1738645560,2025_02,7,ROCHE_SNAP,2.42,2.0,gate3,10.196,0.453,MEGA,LONG,746.5,35,4,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0,,,0.0,,,0.0,0.0
