**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,level,idx,parent_chain,shape,shape_class,skew,r,mean_sigma,start_ts,end_ts,start_i,end_i,length_min
2025_01_03,IS,sub_motif,0,4/0,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,SYMMETRIC,0.9519072268591785,5.758052686893015,1735891775,1735892580,4510,4669,13.42
2025_01_03,IS,sub_motif,1,4/0,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,SYMMETRIC,0.9733155364902961,8.199805437967182,1735892580,1735894380,4669,5022,30.0
2025_01_03,IS,sub_motif,2,4/0,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.978562906955037,7.726306427731918,1735894380,1735896045,5022,5346,27.75
2025_01_03,IS,sub_motif,0,4/1,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,SYMMETRIC,0.9476214691102842,7.026600372719322,1735896045,1735897030,5346,5531,16.42
2025_01_03,IS,sub_motif,1,4/1,FLATLINE,FLATLINE,NONE,0.31577497206248684,4.556510012176904,1735897030,1735898340,5531,5758,21.83
2025_01_03,IS,sub_motif,2,4/1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9796118292609352,5.540175975719774,1735898340,1735899610,5758,5971,21.17
2025_01_03,IS,sub_motif,0,4/2,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.9547958466748853,4.185717320495913,1735899610,1735901105,5971,6227,24.92
2025_01_03,IS,sub_motif,1,4/2,GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,BACK_SKEWED,0.8683039011893071,2.951604765757903,1735901105,1735901515,6227,6290,6.83
2025_01_03,IS,sub_motif,2,4/2,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,BACK_SKEWED,0.9834892720522017,5.786869334739244,1735901515,1735903380,6290,6602,31.08
2025_01_03,IS,sub_motif,3,4/2,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9650434487251652,5.883759767404462,1735903380,1735903630,6602,6647,4.17
2025_01_03,IS,sub_motif,0,5/0,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9618621840866962,3.6379410250041575,1735903800,1735905180,6677,6901,23.0
2025_01_03,IS,sub_motif,1,5/0,FLATLINE,FLATLINE,NONE,0.0,2.5638280530778617,1735905180,1735905215,6901,6907,0.58
2025_01_03,IS,sub_motif,2,5/0,NOISE,NOISE,NONE,0.8491775940252818,2.429534047780777,1735905215,1735905360,6907,6920,2.42
2025_01_03,IS,sub_motif,3,5/0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9774112617473248,5.623904761994693,1735905360,1735906800,6920,7177,24.0
2025_01_03,IS,sub_motif,0,5/1,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.975115592849779,8.547413010294862,1735906800,1735907185,7177,7251,6.42
2025_01_03,IS,sub_motif,0,6/0,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9542232630664209,5.468245549488805,1735907400,1735908390,7292,7473,16.5
