tf,X,q_z,n,corr_x_fwd
15m,reversion_prob_w,2,9377,0.005555842450333152
15m,reversion_prob_w,3,9380,-0.009655803003198467
15m,reversion_prob_w,4,9377,-0.014203213473392802
15m,swing_noise_w,0,9361,0.018520458037332346
15m,swing_noise_w,1,9365,0.020224400121866472
15m,swing_noise_w,2,9371,-0.017826699050171126
15m,swing_noise_w,3,9365,0.06502903709724939
15m,swing_noise_w,4,9365,0.006937140095503101
1h,price_velocity_1b,0,9342,-0.04654378060937331
1h,price_velocity_1b,1,9357,-0.02964864978727221
1h,price_velocity_1b,2,9349,-0.008006001996642526
1h,price_velocity_1b,3,9357,0.06528921526496048
1h,price_velocity_1b,4,9368,0.03047951355825299
1h,price_accel_1b,0,9342,0.008739093748179619
1h,price_accel_1b,1,9357,-0.1064834195216143
1h,price_accel_1b,2,9349,0.0003096513734647769
1h,price_accel_1b,3,9357,0.025673244927417547
1h,price_accel_1b,4,9368,-0.012968014091186053
1h,vol_velocity_1b,0,9342,-0.04919861420966995
1h,vol_velocity_1b,1,9357,0.013380315506720985
1h,vol_velocity_1b,2,9349,-0.037039999641229795
1h,vol_velocity_1b,3,9357,-0.015732895181757158
1h,vol_velocity_1b,4,9368,0.024476160172612085
1h,vol_accel_1b,0,9342,-0.07543343976120959
1h,vol_accel_1b,1,9357,0.013603409721937002
1h,vol_accel_1b,2,9349,-0.001827587216529927
1h,vol_accel_1b,3,9357,-0.02626960583072904
1h,vol_accel_1b,4,9368,0.03137099445004433
1h,bar_range,0,9342,0.03939440936206669
1h,bar_range,1,9357,0.08698884242448368
1h,bar_range,2,9349,-0.037772256815699325
1h,bar_range,3,9357,0.039989589188663105
1h,bar_range,4,9368,0.031192868031936334
1h,body,0,9342,-0.05208609679372415
1h,body,1,9357,-0.02611018771767834
1h,body,2,9349,-0.010400915072496386
1h,body,3,9357,0.05725699664800527
1h,body,4,9368,0.03883828681059755
1h,price_velocity_w,0,9342,-0.06270039254011692
1h,price_velocity_w,1,9345,0.05076664621259948
1h,price_velocity_w,2,9349,0.01628331409832076
1h,price_velocity_w,3,9357,0.03107047759921634
1h,price_velocity_w,4,9368,0.06525127353792166
1h,price_accel_w,0,9342,-0.0037232437338581524
1h,price_accel_w,1,9345,-0.005942049849526631
1h,price_accel_w,2,9349,0.04065527155595575
1h,price_accel_w,3,9357,0.12850201499297378
1h,price_accel_w,4,9356,0.03380677721135507
1h,vol_velocity_w,0,9342,-0.0038238443958553926
1h,vol_velocity_w,1,9345,-0.02159055887793202
1h,vol_velocity_w,2,9349,-0.046168383274710886
1h,vol_velocity_w,3,9357,0.009219687402096525
1h,vol_velocity_w,4,9368,0.02050959815921593
1h,vol_accel_w,0,9342,-0.03629286563030727
1h,vol_accel_w,1,9345,0.009964251414904101
1h,vol_accel_w,2,9349,-0.027329936507923987
1h,vol_accel_w,3,9357,-0.0440140405274921
1h,vol_accel_w,4,9356,0.02235081934210818
1h,price_mean_w,0,9342,-0.042317064184811605
1h,price_mean_w,1,9357,-0.026755144129153443
1h,price_mean_w,2,9349,0.006215343563440889
1h,price_mean_w,3,9357,-0.016259329537746055
1h,price_mean_w,4,9368,-0.0006823876641416847
