entry_ts,leg_dir,entry_price,extra_z_se,day
1708453264,SHORT,17515.0,1.8491650629071925,2024_02_20
1708453270,SHORT,17515.0,1.8491650629071925,2024_02_20
1708453272,SHORT,17515.5,1.9185304294432748,2024_02_20
1708453278,SHORT,17515.5,1.9185304294432748,2024_02_20
1708453295,SHORT,17515.5,1.9185304294432748,2024_02_20
1708453299,SHORT,17515.0,1.8491650629071925,2024_02_20
1708453304,SHORT,17515.0,1.8491650629071925,2024_02_20
1708453307,SHORT,17517.0,2.126626529051522,2024_02_20
1708453324,SHORT,17522.75,1.9289693200800735,2024_02_20
1708453332,SHORT,17522.25,1.8685079596491982,2024_02_20
1708453335,SHORT,17522.25,1.8685079596491982,2024_02_20
1708453370,SHORT,17522.25,1.8685079596491982,2024_02_20
1708453378,SHORT,17522.5,1.898738639864636,2024_02_20
1708453418,SHORT,17528.25,1.8517595883529145,2024_02_20
1708453625,LONG,17503.75,-2.244824116216456,2024_02_20
1708453742,LONG,17484.25,-1.9630594938657713,2024_02_20
1708454232,SHORT,17493.5,1.9960846215214174,2024_02_20
1708454449,SHORT,17498.5,1.8877793771665219,2024_02_20
1708454464,SHORT,17502.5,2.004625662173952,2024_02_20
1708454466,SHORT,17502.0,1.9369684889322636,2024_02_20
1708454486,SHORT,17502.5,2.004625662173952,2024_02_20
1708454588,SHORT,17516.0,1.8763701567817497,2024_02_20
1708454591,SHORT,17516.0,1.8763701567817497,2024_02_20
1708454984,LONG,17510.0,-2.1053081340163113,2024_02_20
1708455007,LONG,17509.5,-1.8760852577876677,2024_02_20
1708455013,LONG,17509.0,-1.9537833530196143,2024_02_20
1708455017,LONG,17509.0,-1.9537833530196143,2024_02_20
1708455034,LONG,17509.5,-1.8760852577876677,2024_02_20
1708455039,LONG,17506.5,-2.3422738291793475,2024_02_20
1708455375,SHORT,17526.25,2.1844962037067437,2024_02_20
1708455443,SHORT,17528.5,1.8910561387224707,2024_02_20
1708455471,SHORT,17528.5,1.8910561387224707,2024_02_20
1708455473,SHORT,17528.5,1.8910561387224707,2024_02_20
1708455491,SHORT,17532.5,1.9746321198455872,2024_02_20
1708455494,SHORT,17532.25,1.9233207611661727,2024_02_20
1708455630,SHORT,17536.5,1.8597908403646748,2024_02_20
1708455738,LONG,17522.5,-2.0945137548199737,2024_02_20
1708455775,LONG,17520.75,-2.528609869808644,2024_02_20
1708455804,LONG,17520.5,-2.0529765383244003,2024_02_20
1708455813,LONG,17521.25,-1.894750986237694,2024_02_20
1708455817,LONG,17521.25,-1.894750986237694,2024_02_20
1708455843,LONG,17516.75,-1.8967849863071218,2024_02_20
1708455847,LONG,17517.0,-1.8555729279408566,2024_02_20
1708455862,LONG,17516.75,-1.8967849863071218,2024_02_20
1708455871,LONG,17516.5,-1.9379970446733872,2024_02_20
1708456363,SHORT,17535.25,1.905168686584672,2024_02_20
1708456369,SHORT,17535.0,1.8586444207340216,2024_02_20
1708456375,SHORT,17535.75,1.9982172182859725,2024_02_20
1708456551,LONG,17518.0,-2.230322022523033,2024_02_20
1708456625,LONG,17511.5,-1.9207154302053757,2024_02_20
1708456686,LONG,17506.25,-1.866490772144412,2024_02_20
1708456691,LONG,17506.25,-1.866490772144412,2024_02_20
1708456762,SHORT,17535.5,2.1682167200243687,2024_02_20
1708456805,SHORT,17539.75,1.875305337111931,2024_02_20
1708456822,SHORT,17540.25,1.9312706791794256,2024_02_20
1708456827,SHORT,17539.75,1.875305337111931,2024_02_20
1708456833,SHORT,17540.0,1.9032880081456784,2024_02_20
1708458075,SHORT,17547.5,2.0891707038729845,2024_02_20
1708458080,SHORT,17547.0,1.9917356146911853,2024_02_20
1708458169,SHORT,17550.0,1.8780550179431161,2024_02_20
1708458490,SHORT,17564.75,2.168945527524034,2024_02_20
1708458528,SHORT,17563.5,1.867144201801652,2024_02_20
1708458531,SHORT,17565.0,2.229305792668511,2024_02_20
1708458536,SHORT,17564.25,2.0482249972350814,2024_02_20
1708458539,SHORT,17563.5,1.867144201801652,2024_02_20
1708458584,SHORT,17567.75,1.963430757288333,2024_02_20
1708458594,SHORT,17567.5,1.906146125419979,2024_02_20
1708458596,SHORT,17568.75,2.192569284761749,2024_02_20
1708458601,SHORT,17573.0,2.0129560404915168,2024_02_20
1708458618,SHORT,17573.25,2.064350662801932,2024_02_20
1708458801,LONG,17558.75,-1.8909942450623922,2024_02_20
1708458827,LONG,17558.75,-1.8909942450623922,2024_02_20
1708458839,LONG,17558.5,-1.9405291303292675,2024_02_20
1708458865,LONG,17556.5,-1.900487101194216,2024_02_20
1708458888,LONG,17556.75,-1.8574653218802581,2024_02_20
1708458892,LONG,17556.75,-1.8574653218802581,2024_02_20
1708459345,LONG,17559.75,-2.044914462647326,2024_02_20
