tier,sub_motif_shape,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match
FADE_AT_BAND,STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,44,16,-0.62,2.16,-28.0,34.0,0
FADE_AT_BAND,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,1293,377,-0.13,-1.45,-164.0,-546.0,1
FADE_AT_BAND,STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,327,85,0.44,-0.27,142.0,-23.0,0
FADE_AT_BAND,STEEP_LINEAR_UP,STEEP_CONVEX_UP,198,34,-2.22,-4.68,-440.0,-159.0,1
FADE_AT_BAND,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,257,75,1.65,8.01,424.0,600.0,1
FADE_AT_BAND,STEEP_LINEAR_UP,STEEP_LINEAR_UP,2033,509,-1.89,-1.62,-3840.0,-824.0,1
FADE_CALM,FLATLINE,FLATLINE,105,9,0.22,-0.39,24.0,-4.0,0
FADE_CALM,FLATLINE,GENTLE_CONCAVE_UP,41,2,-0.39,0.0,-16.0,0.0,0
FADE_CALM,FLATLINE,GENTLE_CONVEX_DOWN,47,1,0.38,3.0,18.0,3.0,1
FADE_CALM,FLATLINE,GENTLE_CONVEX_UP,11,0,-1.0,,-11.0,0.0,-1
FADE_CALM,FLATLINE,GENTLE_LINEAR_DOWN,28,3,0.98,-1.83,28.0,-6.0,0
FADE_CALM,FLATLINE,GENTLE_LINEAR_UP,37,7,-0.27,-1.43,-10.0,-10.0,1
