**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,open,high,low,close,range,body,efficiency,body_signed,strat_pnl,strat_n,strat_wins,eff_q,range_20d_mean,range_ratio,window
2026-04-12,25004.25,25120.0,24914.5,25114.5,205.5,110.25,0.5364963503649635,110.25,-46.4,1,0,Q3,511.3125,0.4019068573524019,BLEED (2/27-4/24)
2026-04-13,25115.25,25618.75,25073.25,25585.0,545.5,469.75,0.8611365719523373,469.75,345.9,9,3,Q4 trend,501.8875,1.086896963961047,BLEED (2/27-4/24)
2026-04-14,25586.25,26058.25,25581.5,25987.75,476.75,401.5,0.8421604614577871,401.5,21.19999999999999,2,1,Q4 trend,496.875,0.959496855345912,BLEED (2/27-4/24)
2026-04-15,25988.5,26486.5,25934.5,26479.75,552.0,491.25,0.8899456521739131,491.25,404.80000000000007,8,4,Q4 trend,507.25,1.0882207984228685,BLEED (2/27-4/24)
2026-04-16,26480.0,26562.75,26275.75,26456.75,287.0,23.25,0.08101045296167247,-23.25,-378.9000000000001,16,5,Q1 chop,485.3125,0.5913715389568577,BLEED (2/27-4/24)
2026-04-17,26456.75,26883.0,26456.75,26842.0,426.25,385.25,0.9038123167155425,385.25,-35.59999999999999,14,5,Q4 trend,479.0125,0.8898515174447431,BLEED (2/27-4/24)
2026-04-19,26603.25,26715.0,26534.75,26688.0,180.25,84.75,0.47018030513176146,84.75,-75.7,3,0,Q2,484.9375,0.3716973836834644,BLEED (2/27-4/24)
2026-04-20,26688.25,26857.25,26569.0,26846.75,288.25,158.5,0.5498699045967043,158.5,107.09999999999997,11,4,Q3,467.15,0.6170394948089479,BLEED (2/27-4/24)
2026-04-21,26846.5,26902.0,26551.75,26837.0,350.25,9.5,0.027123483226266953,-9.5,330.0999999999999,16,8,Q1 chop,447.7625,0.782222718517071,BLEED (2/27-4/24)
2026-04-22,26835.75,27138.0,26779.75,26991.5,358.25,155.75,0.43475226796929517,155.75,149.1000000000002,16,5,Q2,449.1375,0.7976399209596171,BLEED (2/27-4/24)
2026-04-23,26991.0,27156.0,26680.0,27075.0,476.0,84.0,0.17647058823529413,84.0,581.0000000000001,20,9,Q1 chop,436.075,1.0915553517170211,BLEED (2/27-4/24)
2026-04-24,27074.25,27462.75,27063.75,27440.75,399.0,366.5,0.918546365914787,366.5,-10.500000000000052,15,5,Q4 trend,412.9125,0.9663064208518753,BLEED (2/27-4/24)
