day,pivot_ts,pivot_bar,n_bars,entry_ts,entry_bar,dir,entry_px,exit_ts,exit_bar,exit_px,exit_reason,pnl_pts,pnl_usd,combiner_P
2026_06_30,1782831480.0,88,4,1782831720,92,-1,30368.75,1782833535,,30418.75,CAT_STOP,-50.0,-101.0,0.7987
2026_06_30,1782831480.0,88,41,1782833940,129,-1,30408.75,1782834835,,30458.75,CAT_STOP,-50.0,-101.0,0.7835
2026_06_30,1782831480.0,88,57,1782834900,145,1,30479.0,1782849540,389,30522.0,R_TRIGGER,43.0,85.0,0.7677
2026_06_30,1782847080.0,348,41,1782849540,389,-1,30522.0,1782850500,405,30510.5,SESSION_CLOSE,11.5,22.0,0.8546
2026_07_01,,-145,145,1782912600,0,-1,30240.0,1782913680,18,30200.5,R_TRIGGER,39.5,78.0,0.814
2026_07_01,1782912900.0,5,13,1782913680,18,-1,30200.5,1782913910,,30250.5,CAT_STOP,-50.0,-101.0,0.765
2026_07_01,1782912900.0,5,18,1782913980,23,1,30231.5,1782916560,66,30229.0,R_TRIGGER,-2.5,-6.0,0.7383
2026_07_01,1782915120.0,42,24,1782916560,66,-1,30229.0,1782918180,93,30251.5,R_TRIGGER,-22.5,-46.0,0.8398
2026_07_01,1782917160.0,76,17,1782918180,93,1,30251.5,1782921300,145,30233.25,R_TRIGGER,-18.25,-37.5,0.9725
2026_07_01,1782919920.0,122,23,1782921300,145,-1,30233.25,1782934200,360,30225.75,R_TRIGGER,7.5,14.0,0.8279
2026_07_01,1782932160.0,326,34,1782934200,360,1,30225.75,1782934580,,30175.75,CAT_STOP,-50.0,-101.0,0.8062
2026_07_01,1782932160.0,326,42,1782934680,368,1,30166.0,1782935520,382,30116.0,CAT_STOP,-50.0,-101.0,0.7651
2026_07_01,1782934200.0,360,22,1782935520,382,-1,30113.0,1782936900,405,30052.75,SESSION_CLOSE,60.25,119.5,0.8062
2026_07_02,,-53,53,1782999000,0,-1,30078.25,1782999240,4,30134.5,R_TRIGGER,-56.25,-113.5,0.8288
2026_07_02,1782999000.0,0,4,1782999240,4,-1,30134.5,1782999805,,30184.5,CAT_STOP,-50.0,-101.0,0.7918
2026_07_02,1782999000.0,0,14,1782999840,14,-1,30126.25,1783000080,18,30176.25,CAT_STOP,-50.0,-101.0,0.8531
2026_07_02,1782999000.0,0,19,1783000140,19,1,30179.25,1783001280,38,30187.75,R_TRIGGER,8.5,16.0,0.7346
2026_07_02,1783000980.0,33,5,1783001280,38,-1,30187.75,1783001580,43,30247.0,R_TRIGGER,-59.25,-119.5,0.7988
2026_07_02,1783001400.0,40,3,1783001580,43,-1,30247.0,1783004400,90,29843.25,R_TRIGGER,403.75,806.5,0.7372
2026_07_02,1783003980.0,83,7,1783004400,90,-1,29843.25,1783005060,101,29766.25,R_TRIGGER,77.0,153.0,0.8499
2026_07_02,1783004820.0,97,4,1783005060,101,-1,29766.25,1783005900,115,29686.5,R_TRIGGER,79.75,158.5,0.8493
2026_07_02,1783005600.0,110,5,1783005900,115,-1,29686.5,1783006045,,29736.5,CAT_STOP,-50.0,-101.0,0.7758
2026_07_02,1783005600.0,110,9,1783006140,119,-1,29670.75,1783006230,,29720.75,CAT_STOP,-50.0,-101.0,0.7484
2026_07_02,1783005600.0,110,11,1783006260,121,-1,29726.0,1783006535,,29776.0,CAT_STOP,-50.0,-101.0,0.7917
2026_07_02,1783005600.0,110,16,1783006560,126,1,29799.25,1783006980,133,29749.25,CAT_STOP,-50.0,-101.0,0.8121
2026_07_02,1783005600.0,110,25,1783007100,135,-1,29741.25,1783015560,276,29446.75,R_TRIGGER,294.5,588.0,0.8558
2026_07_02,1783015140.0,269,7,1783015560,276,1,29446.75,1783019040,334,29402.5,R_TRIGGER,-44.25,-89.5,0.9802
2026_07_02,1783017180.0,303,31,1783019040,334,-1,29402.5,1783019060,,29452.5,CAT_STOP,-50.0,-101.0,0.986
2026_07_02,1783017180.0,303,32,1783019100,335,-1,29390.25,1783020565,,29440.25,CAT_STOP,-50.0,-101.0,0.9274
2026_07_02,1783017180.0,303,57,1783020600,360,1,29444.0,1783023300,405,29553.25,SESSION_CLOSE,109.25,217.5,0.8677
2026_07_03,,-70,71,1783085460,1,1,29948.0,1783085940,9,29913.75,R_TRIGGER,-34.25,-69.5,0.8362
2026_07_03,1783085580.0,3,10,1783086180,13,1,29935.0,1783092620,,29885.0,CAT_STOP,-50.0,-101.0,0.8033
2026_07_03,1783085580.0,3,143,1783094160,146,1,29911.0,1783097940,209,29903.75,SESSION_CLOSE,-7.25,-15.5,0.956
2026_07_06,,-30,30,1783344600,0,-1,29855.5,1783344775,,29905.5,CAT_STOP,-50.0,-101.0,0.7881
2026_07_06,1783344600.0,0,3,1783344780,3,-1,29910.75,1783345200,10,29904.0,R_TRIGGER,6.75,12.5,0.8844
2026_07_06,1783345020.0,7,3,1783345200,10,1,29904.0,1783345350,,29854.0,CAT_STOP,-50.0,-101.0,0.8612
2026_07_06,1783345020.0,7,7,1783345440,14,1,29921.25,1783345445,,29871.25,CAT_STOP,-50.0,-101.0,0.8219
2026_07_06,1783345020.0,7,8,1783345500,15,1,29954.5,1783345505,,29904.5,CAT_STOP,-50.0,-101.0,0.8181
2026_07_06,1783345020.0,7,10,1783345620,17,1,29919.75,1783346280,28,29935.75,R_TRIGGER,16.0,31.0,0.7918
2026_07_06,1783345860.0,21,7,1783346280,28,1,29935.75,1783350720,102,29993.0,R_TRIGGER,57.25,113.5,0.8139
2026_07_06,1783349400.0,80,23,1783350780,103,-1,29969.75,1783351560,116,30036.25,R_TRIGGER,-66.5,-134.0,0.9761
2026_07_06,1783351080.0,108,8,1783351560,116,1,30036.25,1783355880,188,30006.25,R_TRIGGER,-30.0,-61.0,0.9592
2026_07_06,1783354200.0,160,29,1783355940,189,-1,30019.75,1783361280,278,29965.0,R_TRIGGER,54.75,108.5,0.7439
2026_07_06,1783359900.0,255,25,1783361400,280,1,29964.5,1783367520,382,29970.0,R_TRIGGER,5.5,10.0,0.8107
2026_07_06,1783365840.0,354,28,1783367520,382,-1,29970.0,1783368900,405,29962.75,SESSION_CLOSE,7.25,13.5,0.8024
2026_07_07,,-80,80,1783431000,0,-1,29635.5,1783431030,,29685.5,CAT_STOP,-50.0,-101.0,0.7525
