trade_idx,day,tier,direction,actual_pnl,best_pnl,best_action,early_bars,timestamp,pattern,pattern_label
9349,2025_12_02,PEAK,short,-14.5,459.5,counter_extended,30,1764666000.0,2,PEAK.2
9350,2025_12_02,PEAK,short,11.0,437.5,counter_extended,38,1764666480.0,2,PEAK.2
9546,2025_12_08,PEAK,short,10.0,122.0,counter_extended,120,1765228380.0,2,PEAK.2
9625,2025_12_10,PEAK,long,7.5,18.5,same_extended,112,1765409100.0,0,PEAK.0
9631,2025_12_11,PEAK,long,15.0,460.0,counter_extended,109,1765419240.0,0,PEAK.0
9665,2025_12_11,PEAK,short,-150.0,212.5,counter_extended,39,1765487700.0,2,PEAK.2
9667,2025_12_11,PEAK,short,242.0,355.5,same_early,7,1765494000.0,2,PEAK.2
9688,2025_12_12,PEAK,long,-22.0,595.0,counter_extended,11,1765531560.0,0,PEAK.0
9739,2025_12_15,PEAK,long,-47.5,297.0,counter_extended,34,1765810980.0,3,PEAK.3
9787,2025_12_16,PEAK,short,-5.5,223.0,counter_extended,46,1765911120.0,2,PEAK.2
9841,2025_12_18,PEAK,short,-24.0,316.5,counter_extended,40,1766065620.0,2,PEAK.2
